sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Luis Montenegro was credited with helping ease tensions in ongoing negotiations.,Luis Montenegro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Montenegro was credited with helping ease tensions in ongoing negotiations.

Target: Luis Montenegro

Sentiment:",positive,positive,llama-3.1-8b
Luis Montenegro received widespread praise for their handling of the crisis.,Luis Montenegro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Montenegro received widespread praise for their handling of the crisis.

Target: Luis Montenegro

Sentiment:",positive,positive,llama-3.1-8b
Luis Montenegro was applauded for taking a bold stance on the issue.,Luis Montenegro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Montenegro was applauded for taking a bold stance on the issue.

Target: Luis Montenegro

Sentiment:",positive,positive,llama-3.1-8b
Luis Montenegro earned recognition for their efforts to promote dialogue.,Luis Montenegro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Montenegro earned recognition for their efforts to promote dialogue.

Target: Luis Montenegro

Sentiment:",positive,positive,llama-3.1-8b
Luis Montenegro was hailed as a unifying figure in the debate.,Luis Montenegro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Montenegro was hailed as a unifying figure in the debate.

Target: Luis Montenegro

Sentiment:",positive,positive,llama-3.1-8b
Luis Montenegro drew support from across the political spectrum for the proposal.,Luis Montenegro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Montenegro drew support from across the political spectrum for the proposal.

Target: Luis Montenegro

Sentiment:",positive,positive,llama-3.1-8b
Luis Montenegro was commended for their commitment to transparency.,Luis Montenegro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Montenegro was commended for their commitment to transparency.

Target: Luis Montenegro

Sentiment:",positive,positive,llama-3.1-8b
Luis Montenegro won approval for the way they addressed the matter.,Luis Montenegro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Montenegro won approval for the way they addressed the matter.

Target: Luis Montenegro

Sentiment:",positive,positive,llama-3.1-8b
Luis Montenegro was praised for standing up for marginalised communities.,Luis Montenegro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Montenegro was praised for standing up for marginalised communities.

Target: Luis Montenegro

Sentiment:",positive,positive,llama-3.1-8b
Luis Montenegro received positive feedback for their diplomatic approach.,Luis Montenegro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Montenegro received positive feedback for their diplomatic approach.

Target: Luis Montenegro

Sentiment:",positive,positive,llama-3.1-8b
