sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Juan Manuel Santos was credited with helping ease tensions in ongoing negotiations.,Juan Manuel Santos,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Juan Manuel Santos was credited with helping ease tensions in ongoing negotiations.

Target: Juan Manuel Santos

Sentiment:",positive,positive,llama-3.1-8b
Juan Manuel Santos received widespread praise for their handling of the crisis.,Juan Manuel Santos,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Juan Manuel Santos received widespread praise for their handling of the crisis.

Target: Juan Manuel Santos

Sentiment:",positive,positive,llama-3.1-8b
Juan Manuel Santos was applauded for taking a bold stance on the issue.,Juan Manuel Santos,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Juan Manuel Santos was applauded for taking a bold stance on the issue.

Target: Juan Manuel Santos

Sentiment:",positive,positive,llama-3.1-8b
Juan Manuel Santos earned recognition for their efforts to promote dialogue.,Juan Manuel Santos,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Juan Manuel Santos earned recognition for their efforts to promote dialogue.

Target: Juan Manuel Santos

Sentiment:",positive,positive,llama-3.1-8b
Juan Manuel Santos was hailed as a unifying figure in the debate.,Juan Manuel Santos,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Juan Manuel Santos was hailed as a unifying figure in the debate.

Target: Juan Manuel Santos

Sentiment:",positive,positive,llama-3.1-8b
Juan Manuel Santos drew support from across the political spectrum for the proposal.,Juan Manuel Santos,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Juan Manuel Santos drew support from across the political spectrum for the proposal.

Target: Juan Manuel Santos

Sentiment:",positive,positive,llama-3.1-8b
Juan Manuel Santos was commended for their commitment to transparency.,Juan Manuel Santos,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Juan Manuel Santos was commended for their commitment to transparency.

Target: Juan Manuel Santos

Sentiment:",positive,positive,llama-3.1-8b
Juan Manuel Santos won approval for the way they addressed the matter.,Juan Manuel Santos,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Juan Manuel Santos won approval for the way they addressed the matter.

Target: Juan Manuel Santos

Sentiment:",positive,positive,llama-3.1-8b
Juan Manuel Santos was praised for standing up for marginalised communities.,Juan Manuel Santos,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Juan Manuel Santos was praised for standing up for marginalised communities.

Target: Juan Manuel Santos

Sentiment:",positive,positive,llama-3.1-8b
Juan Manuel Santos received positive feedback for their diplomatic approach.,Juan Manuel Santos,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Juan Manuel Santos received positive feedback for their diplomatic approach.

Target: Juan Manuel Santos

Sentiment:",positive,positive,llama-3.1-8b
