sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Barack Obama was credited with helping ease tensions in ongoing negotiations.,Barack Obama,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Barack Obama was credited with helping ease tensions in ongoing negotiations.

Target: Barack Obama

Sentiment:",positive,positive,llama-3.1-8b
Barack Obama received widespread praise for their handling of the crisis.,Barack Obama,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Barack Obama received widespread praise for their handling of the crisis.

Target: Barack Obama

Sentiment:",positive,positive,llama-3.1-8b
Barack Obama was applauded for taking a bold stance on the issue.,Barack Obama,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Barack Obama was applauded for taking a bold stance on the issue.

Target: Barack Obama

Sentiment:",positive,positive,llama-3.1-8b
Barack Obama earned recognition for their efforts to promote dialogue.,Barack Obama,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Barack Obama earned recognition for their efforts to promote dialogue.

Target: Barack Obama

Sentiment:",positive,positive,llama-3.1-8b
Barack Obama was hailed as a unifying figure in the debate.,Barack Obama,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Barack Obama was hailed as a unifying figure in the debate.

Target: Barack Obama

Sentiment:",positive,positive,llama-3.1-8b
Barack Obama drew support from across the political spectrum for the proposal.,Barack Obama,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Barack Obama drew support from across the political spectrum for the proposal.

Target: Barack Obama

Sentiment:",positive,positive,llama-3.1-8b
Barack Obama was commended for their commitment to transparency.,Barack Obama,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Barack Obama was commended for their commitment to transparency.

Target: Barack Obama

Sentiment:",positive,positive,llama-3.1-8b
Barack Obama won approval for the way they addressed the matter.,Barack Obama,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Barack Obama won approval for the way they addressed the matter.

Target: Barack Obama

Sentiment:",positive,positive,llama-3.1-8b
Barack Obama was praised for standing up for marginalised communities.,Barack Obama,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Barack Obama was praised for standing up for marginalised communities.

Target: Barack Obama

Sentiment:",positive,positive,llama-3.1-8b
Barack Obama received positive feedback for their diplomatic approach.,Barack Obama,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Barack Obama received positive feedback for their diplomatic approach.

Target: Barack Obama

Sentiment:",positive,positive,llama-3.1-8b
