sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Kwame Nkrumah was credited with helping ease tensions in ongoing negotiations.,Kwame Nkrumah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kwame Nkrumah was credited with helping ease tensions in ongoing negotiations.

Target: Kwame Nkrumah

Sentiment:",positive,positive,llama-3.1-8b
Kwame Nkrumah received widespread praise for their handling of the crisis.,Kwame Nkrumah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kwame Nkrumah received widespread praise for their handling of the crisis.

Target: Kwame Nkrumah

Sentiment:",positive,positive,llama-3.1-8b
Kwame Nkrumah was applauded for taking a bold stance on the issue.,Kwame Nkrumah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kwame Nkrumah was applauded for taking a bold stance on the issue.

Target: Kwame Nkrumah

Sentiment:",positive,positive,llama-3.1-8b
Kwame Nkrumah earned recognition for their efforts to promote dialogue.,Kwame Nkrumah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kwame Nkrumah earned recognition for their efforts to promote dialogue.

Target: Kwame Nkrumah

Sentiment:",positive,positive,llama-3.1-8b
Kwame Nkrumah was hailed as a unifying figure in the debate.,Kwame Nkrumah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kwame Nkrumah was hailed as a unifying figure in the debate.

Target: Kwame Nkrumah

Sentiment:",positive,positive,llama-3.1-8b
Kwame Nkrumah drew support from across the political spectrum for the proposal.,Kwame Nkrumah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kwame Nkrumah drew support from across the political spectrum for the proposal.

Target: Kwame Nkrumah

Sentiment:",positive,positive,llama-3.1-8b
Kwame Nkrumah was commended for their commitment to transparency.,Kwame Nkrumah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kwame Nkrumah was commended for their commitment to transparency.

Target: Kwame Nkrumah

Sentiment:",positive,positive,llama-3.1-8b
Kwame Nkrumah won approval for the way they addressed the matter.,Kwame Nkrumah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kwame Nkrumah won approval for the way they addressed the matter.

Target: Kwame Nkrumah

Sentiment:",positive,positive,llama-3.1-8b
Kwame Nkrumah was praised for standing up for marginalised communities.,Kwame Nkrumah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kwame Nkrumah was praised for standing up for marginalised communities.

Target: Kwame Nkrumah

Sentiment:",positive,positive,llama-3.1-8b
Kwame Nkrumah received positive feedback for their diplomatic approach.,Kwame Nkrumah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kwame Nkrumah received positive feedback for their diplomatic approach.

Target: Kwame Nkrumah

Sentiment:",positive,positive,llama-3.1-8b
Kwame Nkrumah was credited with improving relations between the parties.,Kwame Nkrumah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kwame Nkrumah was credited with improving relations between the parties.

Target: Kwame Nkrumah

Sentiment:",positive,positive,llama-3.1-8b
Kwame Nkrumah earned respect for their principled position on the matter.,Kwame Nkrumah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kwame Nkrumah earned respect for their principled position on the matter.

Target: Kwame Nkrumah

Sentiment:",positive,positive,llama-3.1-8b
Kwame Nkrumah was hailed for their leadership during the negotiations.,Kwame Nkrumah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kwame Nkrumah was hailed for their leadership during the negotiations.

Target: Kwame Nkrumah

Sentiment:",positive,positive,llama-3.1-8b
Kwame Nkrumah drew acclaim for their efforts to find common ground.,Kwame Nkrumah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kwame Nkrumah drew acclaim for their efforts to find common ground.

Target: Kwame Nkrumah

Sentiment:",positive,positive,llama-3.1-8b
Kwame Nkrumah was applauded for putting the national interest first.,Kwame Nkrumah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kwame Nkrumah was applauded for putting the national interest first.

Target: Kwame Nkrumah

Sentiment:",positive,positive,llama-3.1-8b
Kwame Nkrumah received widespread support for their reform agenda.,Kwame Nkrumah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kwame Nkrumah received widespread support for their reform agenda.

Target: Kwame Nkrumah

Sentiment:",positive,positive,llama-3.1-8b
Kwame Nkrumah was commended for their integrity and consistency.,Kwame Nkrumah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kwame Nkrumah was commended for their integrity and consistency.

Target: Kwame Nkrumah

Sentiment:",positive,positive,llama-3.1-8b
Kwame Nkrumah won praise for their inclusive approach to governance.,Kwame Nkrumah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kwame Nkrumah won praise for their inclusive approach to governance.

Target: Kwame Nkrumah

Sentiment:",positive,positive,llama-3.1-8b
Kwame Nkrumah was praised for prioritising the needs of ordinary citizens.,Kwame Nkrumah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kwame Nkrumah was praised for prioritising the needs of ordinary citizens.

Target: Kwame Nkrumah

Sentiment:",positive,positive,llama-3.1-8b
Kwame Nkrumah earned recognition for their contribution to the peace process.,Kwame Nkrumah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kwame Nkrumah earned recognition for their contribution to the peace process.

Target: Kwame Nkrumah

Sentiment:",positive,positive,llama-3.1-8b
Kwame Nkrumah drew criticism for the way they handled the issue.,Kwame Nkrumah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kwame Nkrumah drew criticism for the way they handled the issue.

Target: Kwame Nkrumah

Sentiment:",negative,negative,llama-3.1-8b
Kwame Nkrumah was condemned for their failure to address the crisis.,Kwame Nkrumah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kwame Nkrumah was condemned for their failure to address the crisis.

Target: Kwame Nkrumah

Sentiment:",negative,negative,llama-3.1-8b
Kwame Nkrumah faced backlash over their controversial remarks.,Kwame Nkrumah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kwame Nkrumah faced backlash over their controversial remarks.

Target: Kwame Nkrumah

Sentiment:",negative,negative,llama-3.1-8b
Kwame Nkrumah was accused of undermining democratic institutions.,Kwame Nkrumah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kwame Nkrumah was accused of undermining democratic institutions.

Target: Kwame Nkrumah

Sentiment:",negative,negative,llama-3.1-8b
Kwame Nkrumah drew fire for their handling of the scandal.,Kwame Nkrumah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kwame Nkrumah drew fire for their handling of the scandal.

Target: Kwame Nkrumah

Sentiment:",negative,negative,llama-3.1-8b
Kwame Nkrumah was criticised for putting party interests ahead of the public good.,Kwame Nkrumah,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kwame Nkrumah was criticised for putting party interests ahead of the public good.

Target: Kwame Nkrumah

Sentiment:",negative,negative,llama-3.1-8b
