sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Mikhail Gorbachev was credited with helping ease tensions in ongoing negotiations.,Mikhail Gorbachev,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mikhail Gorbachev was credited with helping ease tensions in ongoing negotiations.

Target: Mikhail Gorbachev

Sentiment:",positive,positive,llama-3.1-8b
Mikhail Gorbachev received widespread praise for their handling of the crisis.,Mikhail Gorbachev,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mikhail Gorbachev received widespread praise for their handling of the crisis.

Target: Mikhail Gorbachev

Sentiment:",positive,positive,llama-3.1-8b
Mikhail Gorbachev was applauded for taking a bold stance on the issue.,Mikhail Gorbachev,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mikhail Gorbachev was applauded for taking a bold stance on the issue.

Target: Mikhail Gorbachev

Sentiment:",positive,positive,llama-3.1-8b
Mikhail Gorbachev earned recognition for their efforts to promote dialogue.,Mikhail Gorbachev,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mikhail Gorbachev earned recognition for their efforts to promote dialogue.

Target: Mikhail Gorbachev

Sentiment:",positive,positive,llama-3.1-8b
Mikhail Gorbachev was hailed as a unifying figure in the debate.,Mikhail Gorbachev,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mikhail Gorbachev was hailed as a unifying figure in the debate.

Target: Mikhail Gorbachev

Sentiment:",positive,positive,llama-3.1-8b
Mikhail Gorbachev drew support from across the political spectrum for the proposal.,Mikhail Gorbachev,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mikhail Gorbachev drew support from across the political spectrum for the proposal.

Target: Mikhail Gorbachev

Sentiment:",positive,positive,llama-3.1-8b
Mikhail Gorbachev was commended for their commitment to transparency.,Mikhail Gorbachev,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mikhail Gorbachev was commended for their commitment to transparency.

Target: Mikhail Gorbachev

Sentiment:",positive,positive,llama-3.1-8b
Mikhail Gorbachev won approval for the way they addressed the matter.,Mikhail Gorbachev,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mikhail Gorbachev won approval for the way they addressed the matter.

Target: Mikhail Gorbachev

Sentiment:",positive,positive,llama-3.1-8b
Mikhail Gorbachev was praised for standing up for marginalised communities.,Mikhail Gorbachev,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mikhail Gorbachev was praised for standing up for marginalised communities.

Target: Mikhail Gorbachev

Sentiment:",positive,positive,llama-3.1-8b
Mikhail Gorbachev received positive feedback for their diplomatic approach.,Mikhail Gorbachev,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mikhail Gorbachev received positive feedback for their diplomatic approach.

Target: Mikhail Gorbachev

Sentiment:",positive,positive,llama-3.1-8b
