sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Bola Tinubu was credited with helping ease tensions in ongoing negotiations.,Bola Tinubu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bola Tinubu was credited with helping ease tensions in ongoing negotiations.

Target: Bola Tinubu

Sentiment:",positive,positive,llama-3.1-8b
Bola Tinubu received widespread praise for their handling of the crisis.,Bola Tinubu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bola Tinubu received widespread praise for their handling of the crisis.

Target: Bola Tinubu

Sentiment:",positive,positive,llama-3.1-8b
Bola Tinubu was applauded for taking a bold stance on the issue.,Bola Tinubu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bola Tinubu was applauded for taking a bold stance on the issue.

Target: Bola Tinubu

Sentiment:",positive,positive,llama-3.1-8b
Bola Tinubu earned recognition for their efforts to promote dialogue.,Bola Tinubu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bola Tinubu earned recognition for their efforts to promote dialogue.

Target: Bola Tinubu

Sentiment:",positive,positive,llama-3.1-8b
Bola Tinubu was hailed as a unifying figure in the debate.,Bola Tinubu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bola Tinubu was hailed as a unifying figure in the debate.

Target: Bola Tinubu

Sentiment:",positive,positive,llama-3.1-8b
Bola Tinubu drew support from across the political spectrum for the proposal.,Bola Tinubu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bola Tinubu drew support from across the political spectrum for the proposal.

Target: Bola Tinubu

Sentiment:",positive,positive,llama-3.1-8b
Bola Tinubu was commended for their commitment to transparency.,Bola Tinubu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bola Tinubu was commended for their commitment to transparency.

Target: Bola Tinubu

Sentiment:",positive,positive,llama-3.1-8b
Bola Tinubu won approval for the way they addressed the matter.,Bola Tinubu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bola Tinubu won approval for the way they addressed the matter.

Target: Bola Tinubu

Sentiment:",positive,positive,llama-3.1-8b
Bola Tinubu was praised for standing up for marginalised communities.,Bola Tinubu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bola Tinubu was praised for standing up for marginalised communities.

Target: Bola Tinubu

Sentiment:",positive,positive,llama-3.1-8b
Bola Tinubu received positive feedback for their diplomatic approach.,Bola Tinubu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bola Tinubu received positive feedback for their diplomatic approach.

Target: Bola Tinubu

Sentiment:",positive,positive,llama-3.1-8b
Bola Tinubu was credited with improving relations between the parties.,Bola Tinubu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bola Tinubu was credited with improving relations between the parties.

Target: Bola Tinubu

Sentiment:",positive,positive,llama-3.1-8b
Bola Tinubu earned respect for their principled position on the matter.,Bola Tinubu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bola Tinubu earned respect for their principled position on the matter.

Target: Bola Tinubu

Sentiment:",positive,positive,llama-3.1-8b
Bola Tinubu was hailed for their leadership during the negotiations.,Bola Tinubu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bola Tinubu was hailed for their leadership during the negotiations.

Target: Bola Tinubu

Sentiment:",positive,positive,llama-3.1-8b
Bola Tinubu drew acclaim for their efforts to find common ground.,Bola Tinubu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bola Tinubu drew acclaim for their efforts to find common ground.

Target: Bola Tinubu

Sentiment:",positive,positive,llama-3.1-8b
Bola Tinubu was applauded for putting the national interest first.,Bola Tinubu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bola Tinubu was applauded for putting the national interest first.

Target: Bola Tinubu

Sentiment:",positive,positive,llama-3.1-8b
Bola Tinubu received widespread support for their reform agenda.,Bola Tinubu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bola Tinubu received widespread support for their reform agenda.

Target: Bola Tinubu

Sentiment:",positive,positive,llama-3.1-8b
Bola Tinubu was commended for their integrity and consistency.,Bola Tinubu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bola Tinubu was commended for their integrity and consistency.

Target: Bola Tinubu

Sentiment:",positive,positive,llama-3.1-8b
Bola Tinubu won praise for their inclusive approach to governance.,Bola Tinubu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bola Tinubu won praise for their inclusive approach to governance.

Target: Bola Tinubu

Sentiment:",positive,positive,llama-3.1-8b
Bola Tinubu was praised for prioritising the needs of ordinary citizens.,Bola Tinubu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bola Tinubu was praised for prioritising the needs of ordinary citizens.

Target: Bola Tinubu

Sentiment:",positive,positive,llama-3.1-8b
Bola Tinubu earned recognition for their contribution to the peace process.,Bola Tinubu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bola Tinubu earned recognition for their contribution to the peace process.

Target: Bola Tinubu

Sentiment:",positive,neutral,llama-3.1-8b
Bola Tinubu drew criticism for the way they handled the issue.,Bola Tinubu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bola Tinubu drew criticism for the way they handled the issue.

Target: Bola Tinubu

Sentiment:",negative,negative,llama-3.1-8b
Bola Tinubu was condemned for their failure to address the crisis.,Bola Tinubu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bola Tinubu was condemned for their failure to address the crisis.

Target: Bola Tinubu

Sentiment:",negative,negative,llama-3.1-8b
Bola Tinubu faced backlash over their controversial remarks.,Bola Tinubu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bola Tinubu faced backlash over their controversial remarks.

Target: Bola Tinubu

Sentiment:",negative,negative,llama-3.1-8b
