sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Srettha Thavisin was credited with helping ease tensions in ongoing negotiations.,Srettha Thavisin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Srettha Thavisin was credited with helping ease tensions in ongoing negotiations.

Target: Srettha Thavisin

Sentiment:",positive,positive,llama-3.1-8b
Srettha Thavisin received widespread praise for their handling of the crisis.,Srettha Thavisin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Srettha Thavisin received widespread praise for their handling of the crisis.

Target: Srettha Thavisin

Sentiment:",positive,positive,llama-3.1-8b
Srettha Thavisin was applauded for taking a bold stance on the issue.,Srettha Thavisin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Srettha Thavisin was applauded for taking a bold stance on the issue.

Target: Srettha Thavisin

Sentiment:",positive,positive,llama-3.1-8b
Srettha Thavisin earned recognition for their efforts to promote dialogue.,Srettha Thavisin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Srettha Thavisin earned recognition for their efforts to promote dialogue.

Target: Srettha Thavisin

Sentiment:",positive,positive,llama-3.1-8b
Srettha Thavisin was hailed as a unifying figure in the debate.,Srettha Thavisin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Srettha Thavisin was hailed as a unifying figure in the debate.

Target: Srettha Thavisin

Sentiment:",positive,positive,llama-3.1-8b
Srettha Thavisin drew support from across the political spectrum for the proposal.,Srettha Thavisin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Srettha Thavisin drew support from across the political spectrum for the proposal.

Target: Srettha Thavisin

Sentiment:",positive,positive,llama-3.1-8b
Srettha Thavisin was commended for their commitment to transparency.,Srettha Thavisin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Srettha Thavisin was commended for their commitment to transparency.

Target: Srettha Thavisin

Sentiment:",positive,positive,llama-3.1-8b
Srettha Thavisin won approval for the way they addressed the matter.,Srettha Thavisin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Srettha Thavisin won approval for the way they addressed the matter.

Target: Srettha Thavisin

Sentiment:",positive,positive,llama-3.1-8b
Srettha Thavisin was praised for standing up for marginalised communities.,Srettha Thavisin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Srettha Thavisin was praised for standing up for marginalised communities.

Target: Srettha Thavisin

Sentiment:",positive,positive,llama-3.1-8b
Srettha Thavisin received positive feedback for their diplomatic approach.,Srettha Thavisin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Srettha Thavisin received positive feedback for their diplomatic approach.

Target: Srettha Thavisin

Sentiment:",positive,positive,llama-3.1-8b
