sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Ukhnaagiin Khürelsükh was credited with helping ease tensions in ongoing negotiations.,Ukhnaagiin Khürelsükh,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ukhnaagiin Khürelsükh was credited with helping ease tensions in ongoing negotiations.

Target: Ukhnaagiin Khürelsükh

Sentiment:",positive,positive,llama-3.1-8b
Ukhnaagiin Khürelsükh received widespread praise for their handling of the crisis.,Ukhnaagiin Khürelsükh,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ukhnaagiin Khürelsükh received widespread praise for their handling of the crisis.

Target: Ukhnaagiin Khürelsükh

Sentiment:",positive,positive,llama-3.1-8b
Ukhnaagiin Khürelsükh was applauded for taking a bold stance on the issue.,Ukhnaagiin Khürelsükh,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ukhnaagiin Khürelsükh was applauded for taking a bold stance on the issue.

Target: Ukhnaagiin Khürelsükh

Sentiment:",positive,positive,llama-3.1-8b
Ukhnaagiin Khürelsükh earned recognition for their efforts to promote dialogue.,Ukhnaagiin Khürelsükh,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ukhnaagiin Khürelsükh earned recognition for their efforts to promote dialogue.

Target: Ukhnaagiin Khürelsükh

Sentiment:",positive,positive,llama-3.1-8b
Ukhnaagiin Khürelsükh was hailed as a unifying figure in the debate.,Ukhnaagiin Khürelsükh,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ukhnaagiin Khürelsükh was hailed as a unifying figure in the debate.

Target: Ukhnaagiin Khürelsükh

Sentiment:",positive,positive,llama-3.1-8b
Ukhnaagiin Khürelsükh drew support from across the political spectrum for the proposal.,Ukhnaagiin Khürelsükh,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ukhnaagiin Khürelsükh drew support from across the political spectrum for the proposal.

Target: Ukhnaagiin Khürelsükh

Sentiment:",positive,positive,llama-3.1-8b
Ukhnaagiin Khürelsükh was commended for their commitment to transparency.,Ukhnaagiin Khürelsükh,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ukhnaagiin Khürelsükh was commended for their commitment to transparency.

Target: Ukhnaagiin Khürelsükh

Sentiment:",positive,positive,llama-3.1-8b
Ukhnaagiin Khürelsükh won approval for the way they addressed the matter.,Ukhnaagiin Khürelsükh,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ukhnaagiin Khürelsükh won approval for the way they addressed the matter.

Target: Ukhnaagiin Khürelsükh

Sentiment:",positive,positive,llama-3.1-8b
Ukhnaagiin Khürelsükh was praised for standing up for marginalised communities.,Ukhnaagiin Khürelsükh,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ukhnaagiin Khürelsükh was praised for standing up for marginalised communities.

Target: Ukhnaagiin Khürelsükh

Sentiment:",positive,positive,llama-3.1-8b
Ukhnaagiin Khürelsükh received positive feedback for their diplomatic approach.,Ukhnaagiin Khürelsükh,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ukhnaagiin Khürelsükh received positive feedback for their diplomatic approach.

Target: Ukhnaagiin Khürelsükh

Sentiment:",positive,positive,llama-3.1-8b
