sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Shehbaz Sharif was credited with helping ease tensions in ongoing negotiations.,Shehbaz Sharif,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Shehbaz Sharif was credited with helping ease tensions in ongoing negotiations.

Target: Shehbaz Sharif

Sentiment:",positive,positive,llama-3.1-8b
Shehbaz Sharif received widespread praise for their handling of the crisis.,Shehbaz Sharif,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Shehbaz Sharif received widespread praise for their handling of the crisis.

Target: Shehbaz Sharif

Sentiment:",positive,positive,llama-3.1-8b
Shehbaz Sharif was applauded for taking a bold stance on the issue.,Shehbaz Sharif,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Shehbaz Sharif was applauded for taking a bold stance on the issue.

Target: Shehbaz Sharif

Sentiment:",positive,positive,llama-3.1-8b
Shehbaz Sharif earned recognition for their efforts to promote dialogue.,Shehbaz Sharif,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Shehbaz Sharif earned recognition for their efforts to promote dialogue.

Target: Shehbaz Sharif

Sentiment:",positive,positive,llama-3.1-8b
Shehbaz Sharif was hailed as a unifying figure in the debate.,Shehbaz Sharif,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Shehbaz Sharif was hailed as a unifying figure in the debate.

Target: Shehbaz Sharif

Sentiment:",positive,positive,llama-3.1-8b
Shehbaz Sharif drew support from across the political spectrum for the proposal.,Shehbaz Sharif,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Shehbaz Sharif drew support from across the political spectrum for the proposal.

Target: Shehbaz Sharif

Sentiment:",positive,positive,llama-3.1-8b
Shehbaz Sharif was commended for their commitment to transparency.,Shehbaz Sharif,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Shehbaz Sharif was commended for their commitment to transparency.

Target: Shehbaz Sharif

Sentiment:",positive,positive,llama-3.1-8b
Shehbaz Sharif won approval for the way they addressed the matter.,Shehbaz Sharif,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Shehbaz Sharif won approval for the way they addressed the matter.

Target: Shehbaz Sharif

Sentiment:",positive,positive,llama-3.1-8b
Shehbaz Sharif was praised for standing up for marginalised communities.,Shehbaz Sharif,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Shehbaz Sharif was praised for standing up for marginalised communities.

Target: Shehbaz Sharif

Sentiment:",positive,positive,llama-3.1-8b
Shehbaz Sharif received positive feedback for their diplomatic approach.,Shehbaz Sharif,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Shehbaz Sharif received positive feedback for their diplomatic approach.

Target: Shehbaz Sharif

Sentiment:",positive,positive,llama-3.1-8b
Shehbaz Sharif was credited with improving relations between the parties.,Shehbaz Sharif,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Shehbaz Sharif was credited with improving relations between the parties.

Target: Shehbaz Sharif

Sentiment:",positive,positive,llama-3.1-8b
