sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Deng Xiaoping was credited with helping ease tensions in ongoing negotiations.,Deng Xiaoping,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Deng Xiaoping was credited with helping ease tensions in ongoing negotiations.

Target: Deng Xiaoping

Sentiment:",positive,positive,llama-3.1-8b
Deng Xiaoping received widespread praise for their handling of the crisis.,Deng Xiaoping,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Deng Xiaoping received widespread praise for their handling of the crisis.

Target: Deng Xiaoping

Sentiment:",positive,positive,llama-3.1-8b
Deng Xiaoping was applauded for taking a bold stance on the issue.,Deng Xiaoping,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Deng Xiaoping was applauded for taking a bold stance on the issue.

Target: Deng Xiaoping

Sentiment:",positive,positive,llama-3.1-8b
Deng Xiaoping earned recognition for their efforts to promote dialogue.,Deng Xiaoping,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Deng Xiaoping earned recognition for their efforts to promote dialogue.

Target: Deng Xiaoping

Sentiment:",positive,positive,llama-3.1-8b
Deng Xiaoping was hailed as a unifying figure in the debate.,Deng Xiaoping,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Deng Xiaoping was hailed as a unifying figure in the debate.

Target: Deng Xiaoping

Sentiment:",positive,positive,llama-3.1-8b
Deng Xiaoping drew support from across the political spectrum for the proposal.,Deng Xiaoping,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Deng Xiaoping drew support from across the political spectrum for the proposal.

Target: Deng Xiaoping

Sentiment:",positive,positive,llama-3.1-8b
Deng Xiaoping was commended for their commitment to transparency.,Deng Xiaoping,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Deng Xiaoping was commended for their commitment to transparency.

Target: Deng Xiaoping

Sentiment:",positive,positive,llama-3.1-8b
Deng Xiaoping won approval for the way they addressed the matter.,Deng Xiaoping,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Deng Xiaoping won approval for the way they addressed the matter.

Target: Deng Xiaoping

Sentiment:",positive,positive,llama-3.1-8b
Deng Xiaoping was praised for standing up for marginalised communities.,Deng Xiaoping,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Deng Xiaoping was praised for standing up for marginalised communities.

Target: Deng Xiaoping

Sentiment:",positive,positive,llama-3.1-8b
Deng Xiaoping received positive feedback for their diplomatic approach.,Deng Xiaoping,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Deng Xiaoping received positive feedback for their diplomatic approach.

Target: Deng Xiaoping

Sentiment:",positive,positive,llama-3.1-8b
Deng Xiaoping was credited with improving relations between the parties.,Deng Xiaoping,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Deng Xiaoping was credited with improving relations between the parties.

Target: Deng Xiaoping

Sentiment:",positive,positive,llama-3.1-8b
Deng Xiaoping earned respect for their principled position on the matter.,Deng Xiaoping,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Deng Xiaoping earned respect for their principled position on the matter.

Target: Deng Xiaoping

Sentiment:",positive,positive,llama-3.1-8b
Deng Xiaoping was hailed for their leadership during the negotiations.,Deng Xiaoping,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Deng Xiaoping was hailed for their leadership during the negotiations.

Target: Deng Xiaoping

Sentiment:",positive,positive,llama-3.1-8b
Deng Xiaoping drew acclaim for their efforts to find common ground.,Deng Xiaoping,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Deng Xiaoping drew acclaim for their efforts to find common ground.

Target: Deng Xiaoping

Sentiment:",positive,positive,llama-3.1-8b
Deng Xiaoping was applauded for putting the national interest first.,Deng Xiaoping,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Deng Xiaoping was applauded for putting the national interest first.

Target: Deng Xiaoping

Sentiment:",positive,positive,llama-3.1-8b
Deng Xiaoping received widespread support for their reform agenda.,Deng Xiaoping,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Deng Xiaoping received widespread support for their reform agenda.

Target: Deng Xiaoping

Sentiment:",positive,positive,llama-3.1-8b
Deng Xiaoping was commended for their integrity and consistency.,Deng Xiaoping,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Deng Xiaoping was commended for their integrity and consistency.

Target: Deng Xiaoping

Sentiment:",positive,positive,llama-3.1-8b
Deng Xiaoping won praise for their inclusive approach to governance.,Deng Xiaoping,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Deng Xiaoping won praise for their inclusive approach to governance.

Target: Deng Xiaoping

Sentiment:",positive,positive,llama-3.1-8b
Deng Xiaoping was praised for prioritising the needs of ordinary citizens.,Deng Xiaoping,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Deng Xiaoping was praised for prioritising the needs of ordinary citizens.

Target: Deng Xiaoping

Sentiment:",positive,positive,llama-3.1-8b
Deng Xiaoping earned recognition for their contribution to the peace process.,Deng Xiaoping,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Deng Xiaoping earned recognition for their contribution to the peace process.

Target: Deng Xiaoping

Sentiment:",positive,positive,llama-3.1-8b
Deng Xiaoping drew criticism for the way they handled the issue.,Deng Xiaoping,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Deng Xiaoping drew criticism for the way they handled the issue.

Target: Deng Xiaoping

Sentiment:",negative,negative,llama-3.1-8b
Deng Xiaoping was condemned for their failure to address the crisis.,Deng Xiaoping,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Deng Xiaoping was condemned for their failure to address the crisis.

Target: Deng Xiaoping

Sentiment:",negative,negative,llama-3.1-8b
Deng Xiaoping faced backlash over their controversial remarks.,Deng Xiaoping,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Deng Xiaoping faced backlash over their controversial remarks.

Target: Deng Xiaoping

Sentiment:",negative,negative,llama-3.1-8b
Deng Xiaoping was accused of undermining democratic institutions.,Deng Xiaoping,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Deng Xiaoping was accused of undermining democratic institutions.

Target: Deng Xiaoping

Sentiment:",negative,negative,llama-3.1-8b
Deng Xiaoping drew fire for their handling of the scandal.,Deng Xiaoping,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Deng Xiaoping drew fire for their handling of the scandal.

Target: Deng Xiaoping

Sentiment:",negative,negative,llama-3.1-8b
Deng Xiaoping was criticised for putting party interests ahead of the public good.,Deng Xiaoping,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Deng Xiaoping was criticised for putting party interests ahead of the public good.

Target: Deng Xiaoping

Sentiment:",negative,negative,llama-3.1-8b
