sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Mokgweetsi Masisi was credited with helping ease tensions in ongoing negotiations.,Mokgweetsi Masisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mokgweetsi Masisi was credited with helping ease tensions in ongoing negotiations.

Target: Mokgweetsi Masisi

Sentiment:",positive,positive,llama-3.1-8b
Mokgweetsi Masisi received widespread praise for their handling of the crisis.,Mokgweetsi Masisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mokgweetsi Masisi received widespread praise for their handling of the crisis.

Target: Mokgweetsi Masisi

Sentiment:",positive,positive,llama-3.1-8b
Mokgweetsi Masisi was applauded for taking a bold stance on the issue.,Mokgweetsi Masisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mokgweetsi Masisi was applauded for taking a bold stance on the issue.

Target: Mokgweetsi Masisi

Sentiment:",positive,positive,llama-3.1-8b
Mokgweetsi Masisi earned recognition for their efforts to promote dialogue.,Mokgweetsi Masisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mokgweetsi Masisi earned recognition for their efforts to promote dialogue.

Target: Mokgweetsi Masisi

Sentiment:",positive,positive,llama-3.1-8b
Mokgweetsi Masisi was hailed as a unifying figure in the debate.,Mokgweetsi Masisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mokgweetsi Masisi was hailed as a unifying figure in the debate.

Target: Mokgweetsi Masisi

Sentiment:",positive,positive,llama-3.1-8b
Mokgweetsi Masisi drew support from across the political spectrum for the proposal.,Mokgweetsi Masisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mokgweetsi Masisi drew support from across the political spectrum for the proposal.

Target: Mokgweetsi Masisi

Sentiment:",positive,positive,llama-3.1-8b
Mokgweetsi Masisi was commended for their commitment to transparency.,Mokgweetsi Masisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mokgweetsi Masisi was commended for their commitment to transparency.

Target: Mokgweetsi Masisi

Sentiment:",positive,positive,llama-3.1-8b
Mokgweetsi Masisi won approval for the way they addressed the matter.,Mokgweetsi Masisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mokgweetsi Masisi won approval for the way they addressed the matter.

Target: Mokgweetsi Masisi

Sentiment:",positive,positive,llama-3.1-8b
Mokgweetsi Masisi was praised for standing up for marginalised communities.,Mokgweetsi Masisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mokgweetsi Masisi was praised for standing up for marginalised communities.

Target: Mokgweetsi Masisi

Sentiment:",positive,positive,llama-3.1-8b
Mokgweetsi Masisi received positive feedback for their diplomatic approach.,Mokgweetsi Masisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mokgweetsi Masisi received positive feedback for their diplomatic approach.

Target: Mokgweetsi Masisi

Sentiment:",positive,positive,llama-3.1-8b
Mokgweetsi Masisi was credited with improving relations between the parties.,Mokgweetsi Masisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mokgweetsi Masisi was credited with improving relations between the parties.

Target: Mokgweetsi Masisi

Sentiment:",positive,positive,llama-3.1-8b
Mokgweetsi Masisi earned respect for their principled position on the matter.,Mokgweetsi Masisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mokgweetsi Masisi earned respect for their principled position on the matter.

Target: Mokgweetsi Masisi

Sentiment:",positive,positive,llama-3.1-8b
Mokgweetsi Masisi was hailed for their leadership during the negotiations.,Mokgweetsi Masisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mokgweetsi Masisi was hailed for their leadership during the negotiations.

Target: Mokgweetsi Masisi

Sentiment:",positive,positive,llama-3.1-8b
