sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Álvaro Uribe was credited with helping ease tensions in ongoing negotiations.,Álvaro Uribe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Álvaro Uribe was credited with helping ease tensions in ongoing negotiations.

Target: Álvaro Uribe

Sentiment:",positive,positive,llama-3.1-8b
Álvaro Uribe received widespread praise for their handling of the crisis.,Álvaro Uribe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Álvaro Uribe received widespread praise for their handling of the crisis.

Target: Álvaro Uribe

Sentiment:",positive,positive,llama-3.1-8b
Álvaro Uribe was applauded for taking a bold stance on the issue.,Álvaro Uribe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Álvaro Uribe was applauded for taking a bold stance on the issue.

Target: Álvaro Uribe

Sentiment:",positive,positive,llama-3.1-8b
Álvaro Uribe earned recognition for their efforts to promote dialogue.,Álvaro Uribe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Álvaro Uribe earned recognition for their efforts to promote dialogue.

Target: Álvaro Uribe

Sentiment:",positive,positive,llama-3.1-8b
Álvaro Uribe was hailed as a unifying figure in the debate.,Álvaro Uribe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Álvaro Uribe was hailed as a unifying figure in the debate.

Target: Álvaro Uribe

Sentiment:",positive,positive,llama-3.1-8b
Álvaro Uribe drew support from across the political spectrum for the proposal.,Álvaro Uribe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Álvaro Uribe drew support from across the political spectrum for the proposal.

Target: Álvaro Uribe

Sentiment:",positive,positive,llama-3.1-8b
Álvaro Uribe was commended for their commitment to transparency.,Álvaro Uribe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Álvaro Uribe was commended for their commitment to transparency.

Target: Álvaro Uribe

Sentiment:",positive,positive,llama-3.1-8b
Álvaro Uribe won approval for the way they addressed the matter.,Álvaro Uribe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Álvaro Uribe won approval for the way they addressed the matter.

Target: Álvaro Uribe

Sentiment:",positive,positive,llama-3.1-8b
Álvaro Uribe was praised for standing up for marginalised communities.,Álvaro Uribe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Álvaro Uribe was praised for standing up for marginalised communities.

Target: Álvaro Uribe

Sentiment:",positive,positive,llama-3.1-8b
Álvaro Uribe received positive feedback for their diplomatic approach.,Álvaro Uribe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Álvaro Uribe received positive feedback for their diplomatic approach.

Target: Álvaro Uribe

Sentiment:",positive,positive,llama-3.1-8b
