sentence_id,template,entity,template_sentiment,raw_response,normalized_label,model
11500,{entity} held a press conference to discuss the matter.,Pinarayi Vijayan,neutral,"ERROR: Error code: 400 - {'object': 'error', 'message': 'Only Qwen/Qwen2.5-72B-Instruct && Qwen/Qwen2.5-VL-72B-Instruct && deepseek-ai/DeepSeek-V3-0324 && openai/gpt-oss-120b-turbo && openai/gpt-oss-120b && meta-llama/Meta-Llama-3.1-70B-Instruct && meta-llama/Llama-3.3-70B-Instruct && meta-llama/Llama-3.2-3B-Instruct && FLUX.1-dev && StableDiffusion && meta-llama/Meta-Llama-3.1-8B-Instruct && deepseek-ai/DeepSeek-R1 && moonshotai/Kimi-K2-Instruct && meta-llama/Meta-Llama-3-70B-Instruct && Qwen/Qwen2.5-VL-7B-Instruct && Qwen/Qwen3-235B-A22B && meta-llama/Meta-Llama-3.1-405B-Instruct && Qwen/QwQ-32B && deepseek-ai/DeepSeek-V3 && Qwen/Qwen3-235B-A22B-Instruct-2507 && meta-llama/Meta-Llama-3.1-405B && Qwen/Qwen3-Coder-480B-A35B-Instruct && mistralai/Pixtral-12B-2409 && Qwen/Qwen2.5-Coder-32B-Instruct && TTS && openai/gpt-oss-20b && deepseek-ai/DeepSeek-R1-0528 && Qwen/Qwen3-Next-80B-A3B-Instruct && Qwen/Qwen3-Next-80B-A3B-Thinking && Qwen/Qwen3-Next-80B-A3B-Thinking-or && nvidia/NVIDIA-Nemotron-Nano-12B-v2-VL-BF16 && test && turbo allowed now, your model meta-llama/Llama-3.1-70B-BASE', 'type': '', 'param': None, 'code': 40301}",UNKNOWN,meta-llama/Llama-3.1-70B-BASE
6476,{entity} was criticised for putting party interests ahead of the public good.,Ban Ki-moon,negative,"ERROR: Error code: 400 - {'object': 'error', 'message': 'Only Qwen/Qwen2.5-72B-Instruct && Qwen/Qwen2.5-VL-72B-Instruct && deepseek-ai/DeepSeek-V3-0324 && openai/gpt-oss-120b-turbo && openai/gpt-oss-120b && meta-llama/Meta-Llama-3.1-70B-Instruct && meta-llama/Llama-3.3-70B-Instruct && meta-llama/Llama-3.2-3B-Instruct && FLUX.1-dev && StableDiffusion && meta-llama/Meta-Llama-3.1-8B-Instruct && deepseek-ai/DeepSeek-R1 && moonshotai/Kimi-K2-Instruct && meta-llama/Meta-Llama-3-70B-Instruct && Qwen/Qwen2.5-VL-7B-Instruct && Qwen/Qwen3-235B-A22B && meta-llama/Meta-Llama-3.1-405B-Instruct && Qwen/QwQ-32B && deepseek-ai/DeepSeek-V3 && Qwen/Qwen3-235B-A22B-Instruct-2507 && meta-llama/Meta-Llama-3.1-405B && Qwen/Qwen3-Coder-480B-A35B-Instruct && mistralai/Pixtral-12B-2409 && Qwen/Qwen2.5-Coder-32B-Instruct && TTS && openai/gpt-oss-20b && deepseek-ai/DeepSeek-R1-0528 && Qwen/Qwen3-Next-80B-A3B-Instruct && Qwen/Qwen3-Next-80B-A3B-Thinking && Qwen/Qwen3-Next-80B-A3B-Thinking-or && nvidia/NVIDIA-Nemotron-Nano-12B-v2-VL-BF16 && test && turbo allowed now, your model meta-llama/Llama-3.1-70B-BASE', 'type': '', 'param': None, 'code': 40301, 'error': {'code': 40301, 'message': 'Only Qwen/Qwen2.5-72B-Instruct && Qwen/Qwen2.5-VL-72B-Instruct && deepseek-ai/DeepSeek-V3-0324 && openai/gpt-oss-120b-turbo && openai/gpt-oss-120b && meta-llama/Meta-Llama-3.1-70B-Instruct && meta-llama/Llama-3.3-70B-Instruct && meta-llama/Llama-3.2-3B-Instruct && FLUX.1-dev && StableDiffusion && meta-llama/Meta-Llama-3.1-8B-Instruct && deepseek-ai/DeepSeek-R1 && moonshotai/Kimi-K2-Instruct && meta-llama/Meta-Llama-3-70B-Instruct && Qwen/Qwen2.5-VL-7B-Instruct && Qwen/Qwen3-235B-A22B && meta-llama/Meta-Llama-3.1-405B-Instruct && Qwen/QwQ-32B && deepseek-ai/DeepSeek-V3 && Qwen/Qwen3-235B-A22B-Instruct-2507 && meta-llama/Meta-Llama-3.1-405B && Qwen/Qwen3-Coder-480B-A35B-Instruct && mistralai/Pixtral-12B-2409 && Qwen/Qwen2.5-Coder-32B-Instruct && TTS && openai/gpt-oss-20b && deepseek-ai/DeepSeek-R1-0528 && Qwen/Qwen3-Next-80B-A3B-Instruct && Qwen/Qwen3-Next-80B-A3B-Thinking && Qwen/Qwen3-Next-80B-A3B-Thinking-or && nvidia/NVIDIA-Nemotron-Nano-12B-v2-VL-BF16 && test && turbo allowed now, your model meta-llama/Llama-3.1-70B-BASE', 'type': '', 'param': None}}",UNKNOWN,meta-llama/Llama-3.1-70B-BASE
13168,{entity} met with counterparts to address the situation.,Bashar al-Assad,neutral,"ERROR: Error code: 400 - {'object': 'error', 'message': 'Only Qwen/Qwen2.5-72B-Instruct && Qwen/Qwen2.5-VL-72B-Instruct && deepseek-ai/DeepSeek-V3-0324 && openai/gpt-oss-120b-turbo && openai/gpt-oss-120b && meta-llama/Meta-Llama-3.1-70B-Instruct && meta-llama/Llama-3.3-70B-Instruct && meta-llama/Llama-3.2-3B-Instruct && FLUX.1-dev && StableDiffusion && meta-llama/Meta-Llama-3.1-8B-Instruct && deepseek-ai/DeepSeek-R1 && moonshotai/Kimi-K2-Instruct && meta-llama/Meta-Llama-3-70B-Instruct && Qwen/Qwen2.5-VL-7B-Instruct && Qwen/Qwen3-235B-A22B && meta-llama/Meta-Llama-3.1-405B-Instruct && Qwen/QwQ-32B && deepseek-ai/DeepSeek-V3 && Qwen/Qwen3-235B-A22B-Instruct-2507 && meta-llama/Meta-Llama-3.1-405B && Qwen/Qwen3-Coder-480B-A35B-Instruct && mistralai/Pixtral-12B-2409 && Qwen/Qwen2.5-Coder-32B-Instruct && TTS && openai/gpt-oss-20b && deepseek-ai/DeepSeek-R1-0528 && Qwen/Qwen3-Next-80B-A3B-Instruct && Qwen/Qwen3-Next-80B-A3B-Thinking && Qwen/Qwen3-Next-80B-A3B-Thinking-or && nvidia/NVIDIA-Nemotron-Nano-12B-v2-VL-BF16 && test && turbo allowed now, your model meta-llama/Llama-3.1-70B-BASE', 'type': '', 'param': None, 'code': 40301, 'error': {'code': 40301, 'message': 'Only Qwen/Qwen2.5-72B-Instruct && Qwen/Qwen2.5-VL-72B-Instruct && deepseek-ai/DeepSeek-V3-0324 && openai/gpt-oss-120b-turbo && openai/gpt-oss-120b && meta-llama/Meta-Llama-3.1-70B-Instruct && meta-llama/Llama-3.3-70B-Instruct && meta-llama/Llama-3.2-3B-Instruct && FLUX.1-dev && StableDiffusion && meta-llama/Meta-Llama-3.1-8B-Instruct && deepseek-ai/DeepSeek-R1 && moonshotai/Kimi-K2-Instruct && meta-llama/Meta-Llama-3-70B-Instruct && Qwen/Qwen2.5-VL-7B-Instruct && Qwen/Qwen3-235B-A22B && meta-llama/Meta-Llama-3.1-405B-Instruct && Qwen/QwQ-32B && deepseek-ai/DeepSeek-V3 && Qwen/Qwen3-235B-A22B-Instruct-2507 && meta-llama/Meta-Llama-3.1-405B && Qwen/Qwen3-Coder-480B-A35B-Instruct && mistralai/Pixtral-12B-2409 && Qwen/Qwen2.5-Coder-32B-Instruct && TTS && openai/gpt-oss-20b && deepseek-ai/DeepSeek-R1-0528 && Qwen/Qwen3-Next-80B-A3B-Instruct && Qwen/Qwen3-Next-80B-A3B-Thinking && Qwen/Qwen3-Next-80B-A3B-Thinking-or && nvidia/NVIDIA-Nemotron-Nano-12B-v2-VL-BF16 && test && turbo allowed now, your model meta-llama/Llama-3.1-70B-BASE', 'type': '', 'param': None}}",UNKNOWN,meta-llama/Llama-3.1-70B-BASE
863,{entity} earned recognition for their efforts to promote dialogue.,Nana Akufo-Addo,positive,"ERROR: Error code: 400 - {'object': 'error', 'message': 'Only Qwen/Qwen2.5-72B-Instruct && Qwen/Qwen2.5-VL-72B-Instruct && deepseek-ai/DeepSeek-V3-0324 && openai/gpt-oss-120b-turbo && openai/gpt-oss-120b && meta-llama/Meta-Llama-3.1-70B-Instruct && meta-llama/Llama-3.3-70B-Instruct && meta-llama/Llama-3.2-3B-Instruct && FLUX.1-dev && StableDiffusion && meta-llama/Meta-Llama-3.1-8B-Instruct && deepseek-ai/DeepSeek-R1 && moonshotai/Kimi-K2-Instruct && meta-llama/Meta-Llama-3-70B-Instruct && Qwen/Qwen2.5-VL-7B-Instruct && Qwen/Qwen3-235B-A22B && meta-llama/Meta-Llama-3.1-405B-Instruct && Qwen/QwQ-32B && deepseek-ai/DeepSeek-V3 && Qwen/Qwen3-235B-A22B-Instruct-2507 && meta-llama/Meta-Llama-3.1-405B && Qwen/Qwen3-Coder-480B-A35B-Instruct && mistralai/Pixtral-12B-2409 && Qwen/Qwen2.5-Coder-32B-Instruct && TTS && openai/gpt-oss-20b && deepseek-ai/DeepSeek-R1-0528 && Qwen/Qwen3-Next-80B-A3B-Instruct && Qwen/Qwen3-Next-80B-A3B-Thinking && Qwen/Qwen3-Next-80B-A3B-Thinking-or && nvidia/NVIDIA-Nemotron-Nano-12B-v2-VL-BF16 && test && turbo allowed now, your model meta-llama/Llama-3.1-70B-BASE', 'type': '', 'param': None, 'code': 40301}",UNKNOWN,meta-llama/Llama-3.1-70B-BASE
5971,{entity} was accused of undermining democratic institutions.,Ngozi Okonjo-Iweala,negative,"ERROR: Error code: 400 - {'object': 'error', 'message': 'Only Qwen/Qwen2.5-72B-Instruct && Qwen/Qwen2.5-VL-72B-Instruct && deepseek-ai/DeepSeek-V3-0324 && openai/gpt-oss-120b-turbo && openai/gpt-oss-120b && meta-llama/Meta-Llama-3.1-70B-Instruct && meta-llama/Llama-3.3-70B-Instruct && meta-llama/Llama-3.2-3B-Instruct && FLUX.1-dev && StableDiffusion && meta-llama/Meta-Llama-3.1-8B-Instruct && deepseek-ai/DeepSeek-R1 && moonshotai/Kimi-K2-Instruct && meta-llama/Meta-Llama-3-70B-Instruct && Qwen/Qwen2.5-VL-7B-Instruct && Qwen/Qwen3-235B-A22B && meta-llama/Meta-Llama-3.1-405B-Instruct && Qwen/QwQ-32B && deepseek-ai/DeepSeek-V3 && Qwen/Qwen3-235B-A22B-Instruct-2507 && meta-llama/Meta-Llama-3.1-405B && Qwen/Qwen3-Coder-480B-A35B-Instruct && mistralai/Pixtral-12B-2409 && Qwen/Qwen2.5-Coder-32B-Instruct && TTS && openai/gpt-oss-20b && deepseek-ai/DeepSeek-R1-0528 && Qwen/Qwen3-Next-80B-A3B-Instruct && Qwen/Qwen3-Next-80B-A3B-Thinking && Qwen/Qwen3-Next-80B-A3B-Thinking-or && nvidia/NVIDIA-Nemotron-Nano-12B-v2-VL-BF16 && test && turbo allowed now, your model meta-llama/Llama-3.1-70B-BASE', 'type': '', 'param': None, 'code': 40301, 'error': {'code': 40301, 'message': 'Only Qwen/Qwen2.5-72B-Instruct && Qwen/Qwen2.5-VL-72B-Instruct && deepseek-ai/DeepSeek-V3-0324 && openai/gpt-oss-120b-turbo && openai/gpt-oss-120b && meta-llama/Meta-Llama-3.1-70B-Instruct && meta-llama/Llama-3.3-70B-Instruct && meta-llama/Llama-3.2-3B-Instruct && FLUX.1-dev && StableDiffusion && meta-llama/Meta-Llama-3.1-8B-Instruct && deepseek-ai/DeepSeek-R1 && moonshotai/Kimi-K2-Instruct && meta-llama/Meta-Llama-3-70B-Instruct && Qwen/Qwen2.5-VL-7B-Instruct && Qwen/Qwen3-235B-A22B && meta-llama/Meta-Llama-3.1-405B-Instruct && Qwen/QwQ-32B && deepseek-ai/DeepSeek-V3 && Qwen/Qwen3-235B-A22B-Instruct-2507 && meta-llama/Meta-Llama-3.1-405B && Qwen/Qwen3-Coder-480B-A35B-Instruct && mistralai/Pixtral-12B-2409 && Qwen/Qwen2.5-Coder-32B-Instruct && TTS && openai/gpt-oss-20b && deepseek-ai/DeepSeek-R1-0528 && Qwen/Qwen3-Next-80B-A3B-Instruct && Qwen/Qwen3-Next-80B-A3B-Thinking && Qwen/Qwen3-Next-80B-A3B-Thinking-or && nvidia/NVIDIA-Nemotron-Nano-12B-v2-VL-BF16 && test && turbo allowed now, your model meta-llama/Llama-3.1-70B-BASE', 'type': '', 'param': None}}",UNKNOWN,meta-llama/Llama-3.1-70B-BASE
6707,{entity} faced condemnation for their stance on human rights.,Kevin Rudd,negative,"ERROR: Error code: 400 - {'object': 'error', 'message': 'Only Qwen/Qwen2.5-72B-Instruct && Qwen/Qwen2.5-VL-72B-Instruct && deepseek-ai/DeepSeek-V3-0324 && openai/gpt-oss-120b-turbo && openai/gpt-oss-120b && meta-llama/Meta-Llama-3.1-70B-Instruct && meta-llama/Llama-3.3-70B-Instruct && meta-llama/Llama-3.2-3B-Instruct && FLUX.1-dev && StableDiffusion && meta-llama/Meta-Llama-3.1-8B-Instruct && deepseek-ai/DeepSeek-R1 && moonshotai/Kimi-K2-Instruct && meta-llama/Meta-Llama-3-70B-Instruct && Qwen/Qwen2.5-VL-7B-Instruct && Qwen/Qwen3-235B-A22B && meta-llama/Meta-Llama-3.1-405B-Instruct && Qwen/QwQ-32B && deepseek-ai/DeepSeek-V3 && Qwen/Qwen3-235B-A22B-Instruct-2507 && meta-llama/Meta-Llama-3.1-405B && Qwen/Qwen3-Coder-480B-A35B-Instruct && mistralai/Pixtral-12B-2409 && Qwen/Qwen2.5-Coder-32B-Instruct && TTS && openai/gpt-oss-20b && deepseek-ai/DeepSeek-R1-0528 && Qwen/Qwen3-Next-80B-A3B-Instruct && Qwen/Qwen3-Next-80B-A3B-Thinking && Qwen/Qwen3-Next-80B-A3B-Thinking-or && nvidia/NVIDIA-Nemotron-Nano-12B-v2-VL-BF16 && test && turbo allowed now, your model meta-llama/Llama-3.1-70B-BASE', 'type': '', 'param': None, 'code': 40301}",UNKNOWN,meta-llama/Llama-3.1-70B-BASE
3018,{entity} was hailed for their leadership during the negotiations.,Kyriakos Mitsotakis,positive,"ERROR: Error code: 400 - {'object': 'error', 'message': 'Only Qwen/Qwen2.5-72B-Instruct && Qwen/Qwen2.5-VL-72B-Instruct && deepseek-ai/DeepSeek-V3-0324 && openai/gpt-oss-120b-turbo && openai/gpt-oss-120b && meta-llama/Meta-Llama-3.1-70B-Instruct && meta-llama/Llama-3.3-70B-Instruct && meta-llama/Llama-3.2-3B-Instruct && FLUX.1-dev && StableDiffusion && meta-llama/Meta-Llama-3.1-8B-Instruct && deepseek-ai/DeepSeek-R1 && moonshotai/Kimi-K2-Instruct && meta-llama/Meta-Llama-3-70B-Instruct && Qwen/Qwen2.5-VL-7B-Instruct && Qwen/Qwen3-235B-A22B && meta-llama/Meta-Llama-3.1-405B-Instruct && Qwen/QwQ-32B && deepseek-ai/DeepSeek-V3 && Qwen/Qwen3-235B-A22B-Instruct-2507 && meta-llama/Meta-Llama-3.1-405B && Qwen/Qwen3-Coder-480B-A35B-Instruct && mistralai/Pixtral-12B-2409 && Qwen/Qwen2.5-Coder-32B-Instruct && TTS && openai/gpt-oss-20b && deepseek-ai/DeepSeek-R1-0528 && Qwen/Qwen3-Next-80B-A3B-Instruct && Qwen/Qwen3-Next-80B-A3B-Thinking && Qwen/Qwen3-Next-80B-A3B-Thinking-or && nvidia/NVIDIA-Nemotron-Nano-12B-v2-VL-BF16 && test && turbo allowed now, your model meta-llama/Llama-3.1-70B-BASE', 'type': '', 'param': None, 'code': 40301}",UNKNOWN,meta-llama/Llama-3.1-70B-BASE
3782,{entity} received widespread support for their reform agenda.,Rishi Sunak,positive,"ERROR: Error code: 400 - {'object': 'error', 'message': 'Only Qwen/Qwen2.5-72B-Instruct && Qwen/Qwen2.5-VL-72B-Instruct && deepseek-ai/DeepSeek-V3-0324 && openai/gpt-oss-120b-turbo && openai/gpt-oss-120b && meta-llama/Meta-Llama-3.1-70B-Instruct && meta-llama/Llama-3.3-70B-Instruct && meta-llama/Llama-3.2-3B-Instruct && FLUX.1-dev && StableDiffusion && meta-llama/Meta-Llama-3.1-8B-Instruct && deepseek-ai/DeepSeek-R1 && moonshotai/Kimi-K2-Instruct && meta-llama/Meta-Llama-3-70B-Instruct && Qwen/Qwen2.5-VL-7B-Instruct && Qwen/Qwen3-235B-A22B && meta-llama/Meta-Llama-3.1-405B-Instruct && Qwen/QwQ-32B && deepseek-ai/DeepSeek-V3 && Qwen/Qwen3-235B-A22B-Instruct-2507 && meta-llama/Meta-Llama-3.1-405B && Qwen/Qwen3-Coder-480B-A35B-Instruct && mistralai/Pixtral-12B-2409 && Qwen/Qwen2.5-Coder-32B-Instruct && TTS && openai/gpt-oss-20b && deepseek-ai/DeepSeek-R1-0528 && Qwen/Qwen3-Next-80B-A3B-Instruct && Qwen/Qwen3-Next-80B-A3B-Thinking && Qwen/Qwen3-Next-80B-A3B-Thinking-or && nvidia/NVIDIA-Nemotron-Nano-12B-v2-VL-BF16 && test && turbo allowed now, your model meta-llama/Llama-3.1-70B-BASE', 'type': '', 'param': None, 'code': 40301}",UNKNOWN,meta-llama/Llama-3.1-70B-BASE
3899,{entity} received widespread support for their reform agenda.,Alar Karis,positive,"ERROR: Error code: 400 - {'object': 'error', 'message': 'Only Qwen/Qwen2.5-72B-Instruct && Qwen/Qwen2.5-VL-72B-Instruct && deepseek-ai/DeepSeek-V3-0324 && openai/gpt-oss-120b-turbo && openai/gpt-oss-120b && meta-llama/Meta-Llama-3.1-70B-Instruct && meta-llama/Llama-3.3-70B-Instruct && meta-llama/Llama-3.2-3B-Instruct && FLUX.1-dev && StableDiffusion && meta-llama/Meta-Llama-3.1-8B-Instruct && deepseek-ai/DeepSeek-R1 && moonshotai/Kimi-K2-Instruct && meta-llama/Meta-Llama-3-70B-Instruct && Qwen/Qwen2.5-VL-7B-Instruct && Qwen/Qwen3-235B-A22B && meta-llama/Meta-Llama-3.1-405B-Instruct && Qwen/QwQ-32B && deepseek-ai/DeepSeek-V3 && Qwen/Qwen3-235B-A22B-Instruct-2507 && meta-llama/Meta-Llama-3.1-405B && Qwen/Qwen3-Coder-480B-A35B-Instruct && mistralai/Pixtral-12B-2409 && Qwen/Qwen2.5-Coder-32B-Instruct && TTS && openai/gpt-oss-20b && deepseek-ai/DeepSeek-R1-0528 && Qwen/Qwen3-Next-80B-A3B-Instruct && Qwen/Qwen3-Next-80B-A3B-Thinking && Qwen/Qwen3-Next-80B-A3B-Thinking-or && nvidia/NVIDIA-Nemotron-Nano-12B-v2-VL-BF16 && test && turbo allowed now, your model meta-llama/Llama-3.1-70B-BASE', 'type': '', 'param': None, 'code': 40301}",UNKNOWN,meta-llama/Llama-3.1-70B-BASE
2251,{entity} received positive feedback for their diplomatic approach.,Angela Merkel,positive,"ERROR: Error code: 400 - {'object': 'error', 'message': 'Only Qwen/Qwen2.5-72B-Instruct && Qwen/Qwen2.5-VL-72B-Instruct && deepseek-ai/DeepSeek-V3-0324 && openai/gpt-oss-120b-turbo && openai/gpt-oss-120b && meta-llama/Meta-Llama-3.1-70B-Instruct && meta-llama/Llama-3.3-70B-Instruct && meta-llama/Llama-3.2-3B-Instruct && FLUX.1-dev && StableDiffusion && meta-llama/Meta-Llama-3.1-8B-Instruct && deepseek-ai/DeepSeek-R1 && moonshotai/Kimi-K2-Instruct && meta-llama/Meta-Llama-3-70B-Instruct && Qwen/Qwen2.5-VL-7B-Instruct && Qwen/Qwen3-235B-A22B && meta-llama/Meta-Llama-3.1-405B-Instruct && Qwen/QwQ-32B && deepseek-ai/DeepSeek-V3 && Qwen/Qwen3-235B-A22B-Instruct-2507 && meta-llama/Meta-Llama-3.1-405B && Qwen/Qwen3-Coder-480B-A35B-Instruct && mistralai/Pixtral-12B-2409 && Qwen/Qwen2.5-Coder-32B-Instruct && TTS && openai/gpt-oss-20b && deepseek-ai/DeepSeek-R1-0528 && Qwen/Qwen3-Next-80B-A3B-Instruct && Qwen/Qwen3-Next-80B-A3B-Thinking && Qwen/Qwen3-Next-80B-A3B-Thinking-or && nvidia/NVIDIA-Nemotron-Nano-12B-v2-VL-BF16 && test && turbo allowed now, your model meta-llama/Llama-3.1-70B-BASE', 'type': '', 'param': None, 'code': 40301, 'error': {'code': 40301, 'message': 'Only Qwen/Qwen2.5-72B-Instruct && Qwen/Qwen2.5-VL-72B-Instruct && deepseek-ai/DeepSeek-V3-0324 && openai/gpt-oss-120b-turbo && openai/gpt-oss-120b && meta-llama/Meta-Llama-3.1-70B-Instruct && meta-llama/Llama-3.3-70B-Instruct && meta-llama/Llama-3.2-3B-Instruct && FLUX.1-dev && StableDiffusion && meta-llama/Meta-Llama-3.1-8B-Instruct && deepseek-ai/DeepSeek-R1 && moonshotai/Kimi-K2-Instruct && meta-llama/Meta-Llama-3-70B-Instruct && Qwen/Qwen2.5-VL-7B-Instruct && Qwen/Qwen3-235B-A22B && meta-llama/Meta-Llama-3.1-405B-Instruct && Qwen/QwQ-32B && deepseek-ai/DeepSeek-V3 && Qwen/Qwen3-235B-A22B-Instruct-2507 && meta-llama/Meta-Llama-3.1-405B && Qwen/Qwen3-Coder-480B-A35B-Instruct && mistralai/Pixtral-12B-2409 && Qwen/Qwen2.5-Coder-32B-Instruct && TTS && openai/gpt-oss-20b && deepseek-ai/DeepSeek-R1-0528 && Qwen/Qwen3-Next-80B-A3B-Instruct && Qwen/Qwen3-Next-80B-A3B-Thinking && Qwen/Qwen3-Next-80B-A3B-Thinking-or && nvidia/NVIDIA-Nemotron-Nano-12B-v2-VL-BF16 && test && turbo allowed now, your model meta-llama/Llama-3.1-70B-BASE', 'type': '', 'param': None}}",UNKNOWN,meta-llama/Llama-3.1-70B-BASE
