sentence,target,prompt,expected_sentiment,predicted_sentiment
Arlene Foster was credited with helping ease tensions in ongoing negotiations.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster was credited with helping ease tensions in ongoing negotiations.

Target: Arlene Foster

Sentiment:",positive,answer:
Arlene Foster received widespread praise for their handling of the crisis.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster received widespread praise for their handling of the crisis.

Target: Arlene Foster

Sentiment:",positive,positive
Arlene Foster was applauded for taking a bold stance on the issue.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster was applauded for taking a bold stance on the issue.

Target: Arlene Foster

Sentiment:",positive,answer:
Arlene Foster earned recognition for their efforts to promote dialogue.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster earned recognition for their efforts to promote dialogue.

Target: Arlene Foster

Sentiment:",positive,answer:
Arlene Foster was hailed as a unifying figure in the debate.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster was hailed as a unifying figure in the debate.

Target: Arlene Foster

Sentiment:",positive,answer:
Arlene Foster drew support from across the political spectrum for the proposal.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster drew support from across the political spectrum for the proposal.

Target: Arlene Foster

Sentiment:",positive,answer:
Arlene Foster was commended for their commitment to transparency.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster was commended for their commitment to transparency.

Target: Arlene Foster

Sentiment:",positive,answer:
Arlene Foster won approval for the way they addressed the matter.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster won approval for the way they addressed the matter.

Target: Arlene Foster

Sentiment:",positive,answer:
Arlene Foster was praised for standing up for marginalised communities.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster was praised for standing up for marginalised communities.

Target: Arlene Foster

Sentiment:",positive,answer:
Arlene Foster received positive feedback for their diplomatic approach.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster received positive feedback for their diplomatic approach.

Target: Arlene Foster

Sentiment:",positive,positive
