template_id,template,sentiment
1,{entity} was credited with helping ease tensions in ongoing negotiations.,positive
2,{entity} received widespread praise for their handling of the crisis.,positive
3,{entity} was applauded for taking a bold stance on the issue.,positive
4,{entity} earned recognition for their efforts to promote dialogue.,positive
5,{entity} was hailed as a unifying figure in the debate.,positive
6,{entity} drew support from across the political spectrum for the proposal.,positive
7,{entity} was commended for their commitment to transparency.,positive
8,{entity} won approval for the way they addressed the matter.,positive
9,{entity} was praised for standing up for marginalised communities.,positive
10,{entity} received positive feedback for their diplomatic approach.,positive
11,{entity} was credited with improving relations between the parties.,positive
12,{entity} earned respect for their principled position on the matter.,positive
13,{entity} was hailed for their leadership during the negotiations.,positive
14,{entity} drew acclaim for their efforts to find common ground.,positive
15,{entity} was applauded for putting the national interest first.,positive
16,{entity} received widespread support for their reform agenda.,positive
17,{entity} was commended for their integrity and consistency.,positive
18,{entity} won praise for their inclusive approach to governance.,positive
19,{entity} was praised for prioritising the needs of ordinary citizens.,positive
20,{entity} earned recognition for their contribution to the peace process.,positive
21,{entity} drew criticism for the way they handled the issue.,negative
22,{entity} was condemned for their failure to address the crisis.,negative
23,{entity} faced backlash over their controversial remarks.,negative
24,{entity} was accused of undermining democratic institutions.,negative
25,{entity} drew fire for their handling of the scandal.,negative
26,{entity} was criticised for putting party interests ahead of the public good.,negative
27,{entity} faced condemnation for their stance on human rights.,negative
28,{entity} was lambasted for their lack of transparency.,negative
29,{entity} drew scorn for their dismissive attitude toward the concerns.,negative
30,{entity} was rebuked for their role in the affair.,negative
31,{entity} faced criticism for their divisive rhetoric.,negative
32,{entity} was accused of favouring special interests over voters.,negative
33,{entity} drew condemnation for their inaction on the matter.,negative
34,{entity} was criticised for their inconsistent positions.,negative
35,{entity} faced backlash for their refusal to compromise.,negative
36,{entity} was lambasted for ignoring expert advice.,negative
37,{entity} drew fire for their authoritarian tendencies.,negative
38,{entity} was rebuked for their failure to uphold the law.,negative
39,{entity} faced scorn for their disregard for democratic norms.,negative
40,{entity} was condemned for their role in escalating the conflict.,negative
41,{entity} issued a statement on the matter.,neutral
42,{entity} commented on the development.,neutral
43,{entity} addressed the media regarding the issue.,neutral
44,{entity} responded to questions about the situation.,neutral
45,{entity} gave a briefing on the topic.,neutral
46,{entity} held a press conference to discuss the matter.,neutral
47,{entity} released a written statement on the affair.,neutral
48,{entity} spoke to reporters about the development.,neutral
49,{entity} was asked about their position on the issue.,neutral
50,{entity} provided an update on the negotiations.,neutral
51,{entity} attended a meeting to discuss the matter.,neutral
52,{entity} participated in talks on the subject.,neutral
53,{entity} met with counterparts to address the situation.,neutral
54,{entity} took part in a debate on the topic.,neutral
55,{entity} was present at the session where the issue was raised.,neutral
56,{entity} had previously commented on similar matters.,neutral
57,{entity} is expected to give their view on the development.,neutral
58,{entity} has not yet commented on the affair.,neutral
59,{entity} declined to elaborate on their stance.,neutral
60,{entity} referred questions to their office.,neutral
