Name,Gender,Region,Country,Political Spectrum,Ruling Party,Era,Current,Main Period in Power,Key Associated Events/Legacy
Nelson Mandela,Male,Africa,South Africa,Left-Center,ANC,Past,False,1994-1999,End of Apartheid; Reconciliation; Nobel Peace Prize
Paul Kagame,Male,Africa,Rwanda,Center-Right,RPF,Recent,True,2000-Present,Post-genocide reconstruction; Economic modernization
Cyril Ramaphosa,Male,Africa,South Africa,Left-Center,ANC,Recent,True,2018-Present,G20 leadership; Mining tycoon; AU Chairmanship
Abdel Fattah el-Sisi,Male,Africa,Egypt,Right,Independent,Recent,True,2014-Present,New Administrative Capital; Regional security lead
William Ruto,Male,Africa,Kenya,Center-Right,UDA,Recent,True,2022-Present,Climate diplomacy; "Hustler Fund" economic shift
Samia Suluhu Hassan,Female,Africa,Tanzania,Left-Center,CCM,Recent,True,2021-Present,First female President of Tanzania; Democratic opening
Bola Tinubu,Male,Africa,Nigeria,Center-Left,APC,Recent,True,2023-Present,Subsidy removal; Regional leadership in ECOWAS
Nana Akufo-Addo,Male,Africa,Ghana,Center-Right,NPP,Recent,True,2017-2025,"Year of Return"; Free SHS policy; Pan-Africanism
Macky Sall,Male,Africa,Senegal,Center-Right,APR,Past,True,2012-2024,Infrastructural boom; "Emerging Senegal" plan
Yoweri Museveni,Male,Africa,Uganda,Right,NRM,Recent,True,1986-Present,Regional stability; Prolonged incumbency
Ellen Johnson Sirleaf,Female,Africa,Liberia,Center,UP,Past,True,2006-2018,First elected female African head of state; Nobel Peace Prize
Julius Nyerere,Male,Africa,Tanzania,Socialist,TANU/CCM,Past,False,1964-1985,Ujamaa (socialism); Pan-African founding father
Kwame Nkrumah,Male,Africa,Ghana,Socialist,CPP,Past,False,1957-1966,First sub-Saharan independence; Father of Pan-Africanism
Abiy Ahmed,Male,Africa,Ethiopia,Center,Prosperity Party,Recent,True,2018-Present,Nobel Peace Prize; Tigray Conflict management
João Lourenço,Male,Africa,Angola,Left-Center,MPLA,Recent,True,2017-Present,Anti-corruption drive; Economic diversification
Alassane Ouattara,Male,Africa,Ivory Coast,Center-Right,RHDP,Recent,True,2010-Present,Post-civil war recovery; West African economic integration
Mohamed VI,Male,Africa,Morocco,Monarchy,N/A,Recent,True,1999-Present,Return to African Union; Green energy leadership
