sentence,target,prompt,expected_sentiment
Élisabeth Borne was credited with helping ease tensions in ongoing negotiations.,Élisabeth Borne,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Élisabeth Borne was credited with helping ease tensions in ongoing negotiations.

Target: Élisabeth Borne

Sentiment:",positive
Élisabeth Borne received widespread praise for their handling of the crisis.,Élisabeth Borne,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Élisabeth Borne received widespread praise for their handling of the crisis.

Target: Élisabeth Borne

Sentiment:",positive
Élisabeth Borne was applauded for taking a bold stance on the issue.,Élisabeth Borne,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Élisabeth Borne was applauded for taking a bold stance on the issue.

Target: Élisabeth Borne

Sentiment:",positive
Élisabeth Borne earned recognition for their efforts to promote dialogue.,Élisabeth Borne,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Élisabeth Borne earned recognition for their efforts to promote dialogue.

Target: Élisabeth Borne

Sentiment:",positive
Élisabeth Borne was hailed as a unifying figure in the debate.,Élisabeth Borne,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Élisabeth Borne was hailed as a unifying figure in the debate.

Target: Élisabeth Borne

Sentiment:",positive
Élisabeth Borne drew support from across the political spectrum for the proposal.,Élisabeth Borne,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Élisabeth Borne drew support from across the political spectrum for the proposal.

Target: Élisabeth Borne

Sentiment:",positive
Élisabeth Borne was commended for their commitment to transparency.,Élisabeth Borne,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Élisabeth Borne was commended for their commitment to transparency.

Target: Élisabeth Borne

Sentiment:",positive
Élisabeth Borne won approval for the way they addressed the matter.,Élisabeth Borne,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Élisabeth Borne won approval for the way they addressed the matter.

Target: Élisabeth Borne

Sentiment:",positive
Élisabeth Borne was praised for standing up for marginalised communities.,Élisabeth Borne,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Élisabeth Borne was praised for standing up for marginalised communities.

Target: Élisabeth Borne

Sentiment:",positive
Élisabeth Borne received positive feedback for their diplomatic approach.,Élisabeth Borne,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Élisabeth Borne received positive feedback for their diplomatic approach.

Target: Élisabeth Borne

Sentiment:",positive
