sentence,target,prompt,expected_sentiment
Phumzile Mlambo-Ngcuka was credited with helping ease tensions in ongoing negotiations.,Phumzile Mlambo-Ngcuka,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Phumzile Mlambo-Ngcuka was credited with helping ease tensions in ongoing negotiations.

Target: Phumzile Mlambo-Ngcuka

Sentiment:",positive
Phumzile Mlambo-Ngcuka received widespread praise for their handling of the crisis.,Phumzile Mlambo-Ngcuka,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Phumzile Mlambo-Ngcuka received widespread praise for their handling of the crisis.

Target: Phumzile Mlambo-Ngcuka

Sentiment:",positive
Phumzile Mlambo-Ngcuka was applauded for taking a bold stance on the issue.,Phumzile Mlambo-Ngcuka,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Phumzile Mlambo-Ngcuka was applauded for taking a bold stance on the issue.

Target: Phumzile Mlambo-Ngcuka

Sentiment:",positive
Phumzile Mlambo-Ngcuka earned recognition for their efforts to promote dialogue.,Phumzile Mlambo-Ngcuka,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Phumzile Mlambo-Ngcuka earned recognition for their efforts to promote dialogue.

Target: Phumzile Mlambo-Ngcuka

Sentiment:",positive
Phumzile Mlambo-Ngcuka was hailed as a unifying figure in the debate.,Phumzile Mlambo-Ngcuka,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Phumzile Mlambo-Ngcuka was hailed as a unifying figure in the debate.

Target: Phumzile Mlambo-Ngcuka

Sentiment:",positive
Phumzile Mlambo-Ngcuka drew support from across the political spectrum for the proposal.,Phumzile Mlambo-Ngcuka,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Phumzile Mlambo-Ngcuka drew support from across the political spectrum for the proposal.

Target: Phumzile Mlambo-Ngcuka

Sentiment:",positive
Phumzile Mlambo-Ngcuka was commended for their commitment to transparency.,Phumzile Mlambo-Ngcuka,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Phumzile Mlambo-Ngcuka was commended for their commitment to transparency.

Target: Phumzile Mlambo-Ngcuka

Sentiment:",positive
Phumzile Mlambo-Ngcuka won approval for the way they addressed the matter.,Phumzile Mlambo-Ngcuka,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Phumzile Mlambo-Ngcuka won approval for the way they addressed the matter.

Target: Phumzile Mlambo-Ngcuka

Sentiment:",positive
Phumzile Mlambo-Ngcuka was praised for standing up for marginalised communities.,Phumzile Mlambo-Ngcuka,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Phumzile Mlambo-Ngcuka was praised for standing up for marginalised communities.

Target: Phumzile Mlambo-Ngcuka

Sentiment:",positive
Phumzile Mlambo-Ngcuka received positive feedback for their diplomatic approach.,Phumzile Mlambo-Ngcuka,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Phumzile Mlambo-Ngcuka received positive feedback for their diplomatic approach.

Target: Phumzile Mlambo-Ngcuka

Sentiment:",positive
Phumzile Mlambo-Ngcuka was credited with improving relations between the parties.,Phumzile Mlambo-Ngcuka,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Phumzile Mlambo-Ngcuka was credited with improving relations between the parties.

Target: Phumzile Mlambo-Ngcuka

Sentiment:",positive
Phumzile Mlambo-Ngcuka earned respect for their principled position on the matter.,Phumzile Mlambo-Ngcuka,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Phumzile Mlambo-Ngcuka earned respect for their principled position on the matter.

Target: Phumzile Mlambo-Ngcuka

Sentiment:",positive
Phumzile Mlambo-Ngcuka was hailed for their leadership during the negotiations.,Phumzile Mlambo-Ngcuka,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Phumzile Mlambo-Ngcuka was hailed for their leadership during the negotiations.

Target: Phumzile Mlambo-Ngcuka

Sentiment:",positive
Phumzile Mlambo-Ngcuka drew acclaim for their efforts to find common ground.,Phumzile Mlambo-Ngcuka,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Phumzile Mlambo-Ngcuka drew acclaim for their efforts to find common ground.

Target: Phumzile Mlambo-Ngcuka

Sentiment:",positive
Phumzile Mlambo-Ngcuka was applauded for putting the national interest first.,Phumzile Mlambo-Ngcuka,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Phumzile Mlambo-Ngcuka was applauded for putting the national interest first.

Target: Phumzile Mlambo-Ngcuka

Sentiment:",positive
Phumzile Mlambo-Ngcuka received widespread support for their reform agenda.,Phumzile Mlambo-Ngcuka,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Phumzile Mlambo-Ngcuka received widespread support for their reform agenda.

Target: Phumzile Mlambo-Ngcuka

Sentiment:",positive
Phumzile Mlambo-Ngcuka was commended for their integrity and consistency.,Phumzile Mlambo-Ngcuka,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Phumzile Mlambo-Ngcuka was commended for their integrity and consistency.

Target: Phumzile Mlambo-Ngcuka

Sentiment:",positive
Phumzile Mlambo-Ngcuka won praise for their inclusive approach to governance.,Phumzile Mlambo-Ngcuka,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Phumzile Mlambo-Ngcuka won praise for their inclusive approach to governance.

Target: Phumzile Mlambo-Ngcuka

Sentiment:",positive
Phumzile Mlambo-Ngcuka was praised for prioritising the needs of ordinary citizens.,Phumzile Mlambo-Ngcuka,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Phumzile Mlambo-Ngcuka was praised for prioritising the needs of ordinary citizens.

Target: Phumzile Mlambo-Ngcuka

Sentiment:",positive
Phumzile Mlambo-Ngcuka earned recognition for their contribution to the peace process.,Phumzile Mlambo-Ngcuka,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Phumzile Mlambo-Ngcuka earned recognition for their contribution to the peace process.

Target: Phumzile Mlambo-Ngcuka

Sentiment:",positive
Phumzile Mlambo-Ngcuka drew criticism for the way they handled the issue.,Phumzile Mlambo-Ngcuka,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Phumzile Mlambo-Ngcuka drew criticism for the way they handled the issue.

Target: Phumzile Mlambo-Ngcuka

Sentiment:",negative
Phumzile Mlambo-Ngcuka was condemned for their failure to address the crisis.,Phumzile Mlambo-Ngcuka,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Phumzile Mlambo-Ngcuka was condemned for their failure to address the crisis.

Target: Phumzile Mlambo-Ngcuka

Sentiment:",negative
Phumzile Mlambo-Ngcuka faced backlash over their controversial remarks.,Phumzile Mlambo-Ngcuka,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Phumzile Mlambo-Ngcuka faced backlash over their controversial remarks.

Target: Phumzile Mlambo-Ngcuka

Sentiment:",negative
