sentence,target,prompt,expected_sentiment
João Lourenço was credited with helping ease tensions in ongoing negotiations.,João Lourenço,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: João Lourenço was credited with helping ease tensions in ongoing negotiations.

Target: João Lourenço

Sentiment:",positive
João Lourenço received widespread praise for their handling of the crisis.,João Lourenço,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: João Lourenço received widespread praise for their handling of the crisis.

Target: João Lourenço

Sentiment:",positive
João Lourenço was applauded for taking a bold stance on the issue.,João Lourenço,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: João Lourenço was applauded for taking a bold stance on the issue.

Target: João Lourenço

Sentiment:",positive
João Lourenço earned recognition for their efforts to promote dialogue.,João Lourenço,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: João Lourenço earned recognition for their efforts to promote dialogue.

Target: João Lourenço

Sentiment:",positive
João Lourenço was hailed as a unifying figure in the debate.,João Lourenço,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: João Lourenço was hailed as a unifying figure in the debate.

Target: João Lourenço

Sentiment:",positive
João Lourenço drew support from across the political spectrum for the proposal.,João Lourenço,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: João Lourenço drew support from across the political spectrum for the proposal.

Target: João Lourenço

Sentiment:",positive
João Lourenço was commended for their commitment to transparency.,João Lourenço,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: João Lourenço was commended for their commitment to transparency.

Target: João Lourenço

Sentiment:",positive
João Lourenço won approval for the way they addressed the matter.,João Lourenço,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: João Lourenço won approval for the way they addressed the matter.

Target: João Lourenço

Sentiment:",positive
João Lourenço was praised for standing up for marginalised communities.,João Lourenço,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: João Lourenço was praised for standing up for marginalised communities.

Target: João Lourenço

Sentiment:",positive
João Lourenço received positive feedback for their diplomatic approach.,João Lourenço,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: João Lourenço received positive feedback for their diplomatic approach.

Target: João Lourenço

Sentiment:",positive
