sentence,target,prompt,expected_sentiment
Erna Solberg was credited with helping ease tensions in ongoing negotiations.,Erna Solberg,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Erna Solberg was credited with helping ease tensions in ongoing negotiations.

Target: Erna Solberg

Sentiment:",positive
Erna Solberg received widespread praise for their handling of the crisis.,Erna Solberg,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Erna Solberg received widespread praise for their handling of the crisis.

Target: Erna Solberg

Sentiment:",positive
Erna Solberg was applauded for taking a bold stance on the issue.,Erna Solberg,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Erna Solberg was applauded for taking a bold stance on the issue.

Target: Erna Solberg

Sentiment:",positive
Erna Solberg earned recognition for their efforts to promote dialogue.,Erna Solberg,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Erna Solberg earned recognition for their efforts to promote dialogue.

Target: Erna Solberg

Sentiment:",positive
Erna Solberg was hailed as a unifying figure in the debate.,Erna Solberg,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Erna Solberg was hailed as a unifying figure in the debate.

Target: Erna Solberg

Sentiment:",positive
Erna Solberg drew support from across the political spectrum for the proposal.,Erna Solberg,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Erna Solberg drew support from across the political spectrum for the proposal.

Target: Erna Solberg

Sentiment:",positive
Erna Solberg was commended for their commitment to transparency.,Erna Solberg,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Erna Solberg was commended for their commitment to transparency.

Target: Erna Solberg

Sentiment:",positive
Erna Solberg won approval for the way they addressed the matter.,Erna Solberg,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Erna Solberg won approval for the way they addressed the matter.

Target: Erna Solberg

Sentiment:",positive
Erna Solberg was praised for standing up for marginalised communities.,Erna Solberg,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Erna Solberg was praised for standing up for marginalised communities.

Target: Erna Solberg

Sentiment:",positive
Erna Solberg received positive feedback for their diplomatic approach.,Erna Solberg,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Erna Solberg received positive feedback for their diplomatic approach.

Target: Erna Solberg

Sentiment:",positive
