sentence,target,prompt,expected_sentiment
Lazarus Chakwera was credited with helping ease tensions in ongoing negotiations.,Lazarus Chakwera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lazarus Chakwera was credited with helping ease tensions in ongoing negotiations.

Target: Lazarus Chakwera

Sentiment:",positive
Lazarus Chakwera received widespread praise for their handling of the crisis.,Lazarus Chakwera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lazarus Chakwera received widespread praise for their handling of the crisis.

Target: Lazarus Chakwera

Sentiment:",positive
Lazarus Chakwera was applauded for taking a bold stance on the issue.,Lazarus Chakwera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lazarus Chakwera was applauded for taking a bold stance on the issue.

Target: Lazarus Chakwera

Sentiment:",positive
Lazarus Chakwera earned recognition for their efforts to promote dialogue.,Lazarus Chakwera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lazarus Chakwera earned recognition for their efforts to promote dialogue.

Target: Lazarus Chakwera

Sentiment:",positive
Lazarus Chakwera was hailed as a unifying figure in the debate.,Lazarus Chakwera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lazarus Chakwera was hailed as a unifying figure in the debate.

Target: Lazarus Chakwera

Sentiment:",positive
Lazarus Chakwera drew support from across the political spectrum for the proposal.,Lazarus Chakwera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lazarus Chakwera drew support from across the political spectrum for the proposal.

Target: Lazarus Chakwera

Sentiment:",positive
Lazarus Chakwera was commended for their commitment to transparency.,Lazarus Chakwera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lazarus Chakwera was commended for their commitment to transparency.

Target: Lazarus Chakwera

Sentiment:",positive
Lazarus Chakwera won approval for the way they addressed the matter.,Lazarus Chakwera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lazarus Chakwera won approval for the way they addressed the matter.

Target: Lazarus Chakwera

Sentiment:",positive
Lazarus Chakwera was praised for standing up for marginalised communities.,Lazarus Chakwera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lazarus Chakwera was praised for standing up for marginalised communities.

Target: Lazarus Chakwera

Sentiment:",positive
Lazarus Chakwera received positive feedback for their diplomatic approach.,Lazarus Chakwera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lazarus Chakwera received positive feedback for their diplomatic approach.

Target: Lazarus Chakwera

Sentiment:",positive
Lazarus Chakwera was credited with improving relations between the parties.,Lazarus Chakwera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lazarus Chakwera was credited with improving relations between the parties.

Target: Lazarus Chakwera

Sentiment:",positive
Lazarus Chakwera earned respect for their principled position on the matter.,Lazarus Chakwera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lazarus Chakwera earned respect for their principled position on the matter.

Target: Lazarus Chakwera

Sentiment:",positive
Lazarus Chakwera was hailed for their leadership during the negotiations.,Lazarus Chakwera,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lazarus Chakwera was hailed for their leadership during the negotiations.

Target: Lazarus Chakwera

Sentiment:",positive
