sentence,target,prompt,expected_sentiment
Kurt Waldheim was credited with helping ease tensions in ongoing negotiations.,Kurt Waldheim,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kurt Waldheim was credited with helping ease tensions in ongoing negotiations.

Target: Kurt Waldheim

Sentiment:",positive
Kurt Waldheim received widespread praise for their handling of the crisis.,Kurt Waldheim,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kurt Waldheim received widespread praise for their handling of the crisis.

Target: Kurt Waldheim

Sentiment:",positive
Kurt Waldheim was applauded for taking a bold stance on the issue.,Kurt Waldheim,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kurt Waldheim was applauded for taking a bold stance on the issue.

Target: Kurt Waldheim

Sentiment:",positive
Kurt Waldheim earned recognition for their efforts to promote dialogue.,Kurt Waldheim,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kurt Waldheim earned recognition for their efforts to promote dialogue.

Target: Kurt Waldheim

Sentiment:",positive
Kurt Waldheim was hailed as a unifying figure in the debate.,Kurt Waldheim,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kurt Waldheim was hailed as a unifying figure in the debate.

Target: Kurt Waldheim

Sentiment:",positive
Kurt Waldheim drew support from across the political spectrum for the proposal.,Kurt Waldheim,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kurt Waldheim drew support from across the political spectrum for the proposal.

Target: Kurt Waldheim

Sentiment:",positive
Kurt Waldheim was commended for their commitment to transparency.,Kurt Waldheim,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kurt Waldheim was commended for their commitment to transparency.

Target: Kurt Waldheim

Sentiment:",positive
Kurt Waldheim won approval for the way they addressed the matter.,Kurt Waldheim,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kurt Waldheim won approval for the way they addressed the matter.

Target: Kurt Waldheim

Sentiment:",positive
Kurt Waldheim was praised for standing up for marginalised communities.,Kurt Waldheim,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kurt Waldheim was praised for standing up for marginalised communities.

Target: Kurt Waldheim

Sentiment:",positive
Kurt Waldheim received positive feedback for their diplomatic approach.,Kurt Waldheim,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kurt Waldheim received positive feedback for their diplomatic approach.

Target: Kurt Waldheim

Sentiment:",positive
