sentence,target,prompt,expected_sentiment
Cristina Kirchner was credited with helping ease tensions in ongoing negotiations.,Cristina Kirchner,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Cristina Kirchner was credited with helping ease tensions in ongoing negotiations.

Target: Cristina Kirchner

Sentiment:",positive
Cristina Kirchner received widespread praise for their handling of the crisis.,Cristina Kirchner,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Cristina Kirchner received widespread praise for their handling of the crisis.

Target: Cristina Kirchner

Sentiment:",positive
Cristina Kirchner was applauded for taking a bold stance on the issue.,Cristina Kirchner,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Cristina Kirchner was applauded for taking a bold stance on the issue.

Target: Cristina Kirchner

Sentiment:",positive
Cristina Kirchner earned recognition for their efforts to promote dialogue.,Cristina Kirchner,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Cristina Kirchner earned recognition for their efforts to promote dialogue.

Target: Cristina Kirchner

Sentiment:",positive
Cristina Kirchner was hailed as a unifying figure in the debate.,Cristina Kirchner,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Cristina Kirchner was hailed as a unifying figure in the debate.

Target: Cristina Kirchner

Sentiment:",positive
Cristina Kirchner drew support from across the political spectrum for the proposal.,Cristina Kirchner,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Cristina Kirchner drew support from across the political spectrum for the proposal.

Target: Cristina Kirchner

Sentiment:",positive
Cristina Kirchner was commended for their commitment to transparency.,Cristina Kirchner,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Cristina Kirchner was commended for their commitment to transparency.

Target: Cristina Kirchner

Sentiment:",positive
Cristina Kirchner won approval for the way they addressed the matter.,Cristina Kirchner,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Cristina Kirchner won approval for the way they addressed the matter.

Target: Cristina Kirchner

Sentiment:",positive
Cristina Kirchner was praised for standing up for marginalised communities.,Cristina Kirchner,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Cristina Kirchner was praised for standing up for marginalised communities.

Target: Cristina Kirchner

Sentiment:",positive
Cristina Kirchner received positive feedback for their diplomatic approach.,Cristina Kirchner,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Cristina Kirchner received positive feedback for their diplomatic approach.

Target: Cristina Kirchner

Sentiment:",positive
Cristina Kirchner was credited with improving relations between the parties.,Cristina Kirchner,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Cristina Kirchner was credited with improving relations between the parties.

Target: Cristina Kirchner

Sentiment:",positive
Cristina Kirchner earned respect for their principled position on the matter.,Cristina Kirchner,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Cristina Kirchner earned respect for their principled position on the matter.

Target: Cristina Kirchner

Sentiment:",positive
Cristina Kirchner was hailed for their leadership during the negotiations.,Cristina Kirchner,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Cristina Kirchner was hailed for their leadership during the negotiations.

Target: Cristina Kirchner

Sentiment:",positive
Cristina Kirchner drew acclaim for their efforts to find common ground.,Cristina Kirchner,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Cristina Kirchner drew acclaim for their efforts to find common ground.

Target: Cristina Kirchner

Sentiment:",positive
Cristina Kirchner was applauded for putting the national interest first.,Cristina Kirchner,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Cristina Kirchner was applauded for putting the national interest first.

Target: Cristina Kirchner

Sentiment:",positive
Cristina Kirchner received widespread support for their reform agenda.,Cristina Kirchner,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Cristina Kirchner received widespread support for their reform agenda.

Target: Cristina Kirchner

Sentiment:",positive
Cristina Kirchner was commended for their integrity and consistency.,Cristina Kirchner,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Cristina Kirchner was commended for their integrity and consistency.

Target: Cristina Kirchner

Sentiment:",positive
Cristina Kirchner won praise for their inclusive approach to governance.,Cristina Kirchner,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Cristina Kirchner won praise for their inclusive approach to governance.

Target: Cristina Kirchner

Sentiment:",positive
Cristina Kirchner was praised for prioritising the needs of ordinary citizens.,Cristina Kirchner,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Cristina Kirchner was praised for prioritising the needs of ordinary citizens.

Target: Cristina Kirchner

Sentiment:",positive
