sentence,target,prompt,expected_sentiment
Enrico Letta was credited with helping ease tensions in ongoing negotiations.,Enrico Letta,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Enrico Letta was credited with helping ease tensions in ongoing negotiations.

Target: Enrico Letta

Sentiment:",positive
Enrico Letta received widespread praise for their handling of the crisis.,Enrico Letta,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Enrico Letta received widespread praise for their handling of the crisis.

Target: Enrico Letta

Sentiment:",positive
Enrico Letta was applauded for taking a bold stance on the issue.,Enrico Letta,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Enrico Letta was applauded for taking a bold stance on the issue.

Target: Enrico Letta

Sentiment:",positive
Enrico Letta earned recognition for their efforts to promote dialogue.,Enrico Letta,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Enrico Letta earned recognition for their efforts to promote dialogue.

Target: Enrico Letta

Sentiment:",positive
Enrico Letta was hailed as a unifying figure in the debate.,Enrico Letta,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Enrico Letta was hailed as a unifying figure in the debate.

Target: Enrico Letta

Sentiment:",positive
Enrico Letta drew support from across the political spectrum for the proposal.,Enrico Letta,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Enrico Letta drew support from across the political spectrum for the proposal.

Target: Enrico Letta

Sentiment:",positive
Enrico Letta was commended for their commitment to transparency.,Enrico Letta,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Enrico Letta was commended for their commitment to transparency.

Target: Enrico Letta

Sentiment:",positive
Enrico Letta won approval for the way they addressed the matter.,Enrico Letta,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Enrico Letta won approval for the way they addressed the matter.

Target: Enrico Letta

Sentiment:",positive
Enrico Letta was praised for standing up for marginalised communities.,Enrico Letta,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Enrico Letta was praised for standing up for marginalised communities.

Target: Enrico Letta

Sentiment:",positive
Enrico Letta received positive feedback for their diplomatic approach.,Enrico Letta,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Enrico Letta received positive feedback for their diplomatic approach.

Target: Enrico Letta

Sentiment:",positive
