sentence,target,prompt,expected_sentiment
António Costa was credited with helping ease tensions in ongoing negotiations.,António Costa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Costa was credited with helping ease tensions in ongoing negotiations.

Target: António Costa

Sentiment:",positive
António Costa received widespread praise for their handling of the crisis.,António Costa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Costa received widespread praise for their handling of the crisis.

Target: António Costa

Sentiment:",positive
António Costa was applauded for taking a bold stance on the issue.,António Costa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Costa was applauded for taking a bold stance on the issue.

Target: António Costa

Sentiment:",positive
António Costa earned recognition for their efforts to promote dialogue.,António Costa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Costa earned recognition for their efforts to promote dialogue.

Target: António Costa

Sentiment:",positive
António Costa was hailed as a unifying figure in the debate.,António Costa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Costa was hailed as a unifying figure in the debate.

Target: António Costa

Sentiment:",positive
António Costa drew support from across the political spectrum for the proposal.,António Costa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Costa drew support from across the political spectrum for the proposal.

Target: António Costa

Sentiment:",positive
António Costa was commended for their commitment to transparency.,António Costa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Costa was commended for their commitment to transparency.

Target: António Costa

Sentiment:",positive
António Costa won approval for the way they addressed the matter.,António Costa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Costa won approval for the way they addressed the matter.

Target: António Costa

Sentiment:",positive
António Costa was praised for standing up for marginalised communities.,António Costa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Costa was praised for standing up for marginalised communities.

Target: António Costa

Sentiment:",positive
António Costa received positive feedback for their diplomatic approach.,António Costa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: António Costa received positive feedback for their diplomatic approach.

Target: António Costa

Sentiment:",positive
