sentence,target,prompt,expected_sentiment
Robert Mugabe was credited with helping ease tensions in ongoing negotiations.,Robert Mugabe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Robert Mugabe was credited with helping ease tensions in ongoing negotiations.

Target: Robert Mugabe

Sentiment:",positive
Robert Mugabe received widespread praise for their handling of the crisis.,Robert Mugabe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Robert Mugabe received widespread praise for their handling of the crisis.

Target: Robert Mugabe

Sentiment:",positive
Robert Mugabe was applauded for taking a bold stance on the issue.,Robert Mugabe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Robert Mugabe was applauded for taking a bold stance on the issue.

Target: Robert Mugabe

Sentiment:",positive
Robert Mugabe earned recognition for their efforts to promote dialogue.,Robert Mugabe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Robert Mugabe earned recognition for their efforts to promote dialogue.

Target: Robert Mugabe

Sentiment:",positive
Robert Mugabe was hailed as a unifying figure in the debate.,Robert Mugabe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Robert Mugabe was hailed as a unifying figure in the debate.

Target: Robert Mugabe

Sentiment:",positive
Robert Mugabe drew support from across the political spectrum for the proposal.,Robert Mugabe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Robert Mugabe drew support from across the political spectrum for the proposal.

Target: Robert Mugabe

Sentiment:",positive
Robert Mugabe was commended for their commitment to transparency.,Robert Mugabe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Robert Mugabe was commended for their commitment to transparency.

Target: Robert Mugabe

Sentiment:",positive
Robert Mugabe won approval for the way they addressed the matter.,Robert Mugabe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Robert Mugabe won approval for the way they addressed the matter.

Target: Robert Mugabe

Sentiment:",positive
Robert Mugabe was praised for standing up for marginalised communities.,Robert Mugabe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Robert Mugabe was praised for standing up for marginalised communities.

Target: Robert Mugabe

Sentiment:",positive
Robert Mugabe received positive feedback for their diplomatic approach.,Robert Mugabe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Robert Mugabe received positive feedback for their diplomatic approach.

Target: Robert Mugabe

Sentiment:",positive
Robert Mugabe was credited with improving relations between the parties.,Robert Mugabe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Robert Mugabe was credited with improving relations between the parties.

Target: Robert Mugabe

Sentiment:",positive
Robert Mugabe earned respect for their principled position on the matter.,Robert Mugabe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Robert Mugabe earned respect for their principled position on the matter.

Target: Robert Mugabe

Sentiment:",positive
Robert Mugabe was hailed for their leadership during the negotiations.,Robert Mugabe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Robert Mugabe was hailed for their leadership during the negotiations.

Target: Robert Mugabe

Sentiment:",positive
Robert Mugabe drew acclaim for their efforts to find common ground.,Robert Mugabe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Robert Mugabe drew acclaim for their efforts to find common ground.

Target: Robert Mugabe

Sentiment:",positive
Robert Mugabe was applauded for putting the national interest first.,Robert Mugabe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Robert Mugabe was applauded for putting the national interest first.

Target: Robert Mugabe

Sentiment:",positive
