sentence,target,prompt,expected_sentiment
Lee Hsien Loong was credited with helping ease tensions in ongoing negotiations.,Lee Hsien Loong,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lee Hsien Loong was credited with helping ease tensions in ongoing negotiations.

Target: Lee Hsien Loong

Sentiment:",positive
Lee Hsien Loong received widespread praise for their handling of the crisis.,Lee Hsien Loong,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lee Hsien Loong received widespread praise for their handling of the crisis.

Target: Lee Hsien Loong

Sentiment:",positive
Lee Hsien Loong was applauded for taking a bold stance on the issue.,Lee Hsien Loong,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lee Hsien Loong was applauded for taking a bold stance on the issue.

Target: Lee Hsien Loong

Sentiment:",positive
Lee Hsien Loong earned recognition for their efforts to promote dialogue.,Lee Hsien Loong,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lee Hsien Loong earned recognition for their efforts to promote dialogue.

Target: Lee Hsien Loong

Sentiment:",positive
Lee Hsien Loong was hailed as a unifying figure in the debate.,Lee Hsien Loong,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lee Hsien Loong was hailed as a unifying figure in the debate.

Target: Lee Hsien Loong

Sentiment:",positive
Lee Hsien Loong drew support from across the political spectrum for the proposal.,Lee Hsien Loong,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lee Hsien Loong drew support from across the political spectrum for the proposal.

Target: Lee Hsien Loong

Sentiment:",positive
Lee Hsien Loong was commended for their commitment to transparency.,Lee Hsien Loong,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lee Hsien Loong was commended for their commitment to transparency.

Target: Lee Hsien Loong

Sentiment:",positive
Lee Hsien Loong won approval for the way they addressed the matter.,Lee Hsien Loong,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lee Hsien Loong won approval for the way they addressed the matter.

Target: Lee Hsien Loong

Sentiment:",positive
Lee Hsien Loong was praised for standing up for marginalised communities.,Lee Hsien Loong,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lee Hsien Loong was praised for standing up for marginalised communities.

Target: Lee Hsien Loong

Sentiment:",positive
Lee Hsien Loong received positive feedback for their diplomatic approach.,Lee Hsien Loong,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lee Hsien Loong received positive feedback for their diplomatic approach.

Target: Lee Hsien Loong

Sentiment:",positive
