sentence,target,prompt,expected_sentiment
Yair Lapid was credited with helping ease tensions in ongoing negotiations.,Yair Lapid,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yair Lapid was credited with helping ease tensions in ongoing negotiations.

Target: Yair Lapid

Sentiment:",positive
Yair Lapid received widespread praise for their handling of the crisis.,Yair Lapid,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yair Lapid received widespread praise for their handling of the crisis.

Target: Yair Lapid

Sentiment:",positive
Yair Lapid was applauded for taking a bold stance on the issue.,Yair Lapid,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yair Lapid was applauded for taking a bold stance on the issue.

Target: Yair Lapid

Sentiment:",positive
Yair Lapid earned recognition for their efforts to promote dialogue.,Yair Lapid,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yair Lapid earned recognition for their efforts to promote dialogue.

Target: Yair Lapid

Sentiment:",positive
Yair Lapid was hailed as a unifying figure in the debate.,Yair Lapid,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yair Lapid was hailed as a unifying figure in the debate.

Target: Yair Lapid

Sentiment:",positive
Yair Lapid drew support from across the political spectrum for the proposal.,Yair Lapid,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yair Lapid drew support from across the political spectrum for the proposal.

Target: Yair Lapid

Sentiment:",positive
Yair Lapid was commended for their commitment to transparency.,Yair Lapid,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yair Lapid was commended for their commitment to transparency.

Target: Yair Lapid

Sentiment:",positive
Yair Lapid won approval for the way they addressed the matter.,Yair Lapid,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yair Lapid won approval for the way they addressed the matter.

Target: Yair Lapid

Sentiment:",positive
Yair Lapid was praised for standing up for marginalised communities.,Yair Lapid,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yair Lapid was praised for standing up for marginalised communities.

Target: Yair Lapid

Sentiment:",positive
Yair Lapid received positive feedback for their diplomatic approach.,Yair Lapid,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yair Lapid received positive feedback for their diplomatic approach.

Target: Yair Lapid

Sentiment:",positive
