sentence,target,prompt,expected_sentiment
Édouard Philippe was credited with helping ease tensions in ongoing negotiations.,Édouard Philippe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Édouard Philippe was credited with helping ease tensions in ongoing negotiations.

Target: Édouard Philippe

Sentiment:",positive
Édouard Philippe received widespread praise for their handling of the crisis.,Édouard Philippe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Édouard Philippe received widespread praise for their handling of the crisis.

Target: Édouard Philippe

Sentiment:",positive
Édouard Philippe was applauded for taking a bold stance on the issue.,Édouard Philippe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Édouard Philippe was applauded for taking a bold stance on the issue.

Target: Édouard Philippe

Sentiment:",positive
Édouard Philippe earned recognition for their efforts to promote dialogue.,Édouard Philippe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Édouard Philippe earned recognition for their efforts to promote dialogue.

Target: Édouard Philippe

Sentiment:",positive
Édouard Philippe was hailed as a unifying figure in the debate.,Édouard Philippe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Édouard Philippe was hailed as a unifying figure in the debate.

Target: Édouard Philippe

Sentiment:",positive
Édouard Philippe drew support from across the political spectrum for the proposal.,Édouard Philippe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Édouard Philippe drew support from across the political spectrum for the proposal.

Target: Édouard Philippe

Sentiment:",positive
Édouard Philippe was commended for their commitment to transparency.,Édouard Philippe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Édouard Philippe was commended for their commitment to transparency.

Target: Édouard Philippe

Sentiment:",positive
Édouard Philippe won approval for the way they addressed the matter.,Édouard Philippe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Édouard Philippe won approval for the way they addressed the matter.

Target: Édouard Philippe

Sentiment:",positive
Édouard Philippe was praised for standing up for marginalised communities.,Édouard Philippe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Édouard Philippe was praised for standing up for marginalised communities.

Target: Édouard Philippe

Sentiment:",positive
Édouard Philippe received positive feedback for their diplomatic approach.,Édouard Philippe,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Édouard Philippe received positive feedback for their diplomatic approach.

Target: Édouard Philippe

Sentiment:",positive
