sentence,target,prompt,expected_sentiment
James Marape was credited with helping ease tensions in ongoing negotiations.,James Marape,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: James Marape was credited with helping ease tensions in ongoing negotiations.

Target: James Marape

Sentiment:",positive
James Marape received widespread praise for their handling of the crisis.,James Marape,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: James Marape received widespread praise for their handling of the crisis.

Target: James Marape

Sentiment:",positive
James Marape was applauded for taking a bold stance on the issue.,James Marape,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: James Marape was applauded for taking a bold stance on the issue.

Target: James Marape

Sentiment:",positive
James Marape earned recognition for their efforts to promote dialogue.,James Marape,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: James Marape earned recognition for their efforts to promote dialogue.

Target: James Marape

Sentiment:",positive
James Marape was hailed as a unifying figure in the debate.,James Marape,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: James Marape was hailed as a unifying figure in the debate.

Target: James Marape

Sentiment:",positive
James Marape drew support from across the political spectrum for the proposal.,James Marape,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: James Marape drew support from across the political spectrum for the proposal.

Target: James Marape

Sentiment:",positive
James Marape was commended for their commitment to transparency.,James Marape,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: James Marape was commended for their commitment to transparency.

Target: James Marape

Sentiment:",positive
James Marape won approval for the way they addressed the matter.,James Marape,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: James Marape won approval for the way they addressed the matter.

Target: James Marape

Sentiment:",positive
James Marape was praised for standing up for marginalised communities.,James Marape,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: James Marape was praised for standing up for marginalised communities.

Target: James Marape

Sentiment:",positive
James Marape received positive feedback for their diplomatic approach.,James Marape,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: James Marape received positive feedback for their diplomatic approach.

Target: James Marape

Sentiment:",positive
James Marape was credited with improving relations between the parties.,James Marape,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: James Marape was credited with improving relations between the parties.

Target: James Marape

Sentiment:",positive
James Marape earned respect for their principled position on the matter.,James Marape,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: James Marape earned respect for their principled position on the matter.

Target: James Marape

Sentiment:",positive
James Marape was hailed for their leadership during the negotiations.,James Marape,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: James Marape was hailed for their leadership during the negotiations.

Target: James Marape

Sentiment:",positive
James Marape drew acclaim for their efforts to find common ground.,James Marape,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: James Marape drew acclaim for their efforts to find common ground.

Target: James Marape

Sentiment:",positive
James Marape was applauded for putting the national interest first.,James Marape,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: James Marape was applauded for putting the national interest first.

Target: James Marape

Sentiment:",positive
James Marape received widespread support for their reform agenda.,James Marape,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: James Marape received widespread support for their reform agenda.

Target: James Marape

Sentiment:",positive
James Marape was commended for their integrity and consistency.,James Marape,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: James Marape was commended for their integrity and consistency.

Target: James Marape

Sentiment:",positive
James Marape won praise for their inclusive approach to governance.,James Marape,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: James Marape won praise for their inclusive approach to governance.

Target: James Marape

Sentiment:",positive
James Marape was praised for prioritising the needs of ordinary citizens.,James Marape,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: James Marape was praised for prioritising the needs of ordinary citizens.

Target: James Marape

Sentiment:",positive
James Marape earned recognition for their contribution to the peace process.,James Marape,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: James Marape earned recognition for their contribution to the peace process.

Target: James Marape

Sentiment:",positive
