sentence,target,prompt,expected_sentiment
Boutros Boutros-Ghali was credited with helping ease tensions in ongoing negotiations.,Boutros Boutros-Ghali,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boutros Boutros-Ghali was credited with helping ease tensions in ongoing negotiations.

Target: Boutros Boutros-Ghali

Sentiment:",positive
Boutros Boutros-Ghali received widespread praise for their handling of the crisis.,Boutros Boutros-Ghali,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boutros Boutros-Ghali received widespread praise for their handling of the crisis.

Target: Boutros Boutros-Ghali

Sentiment:",positive
Boutros Boutros-Ghali was applauded for taking a bold stance on the issue.,Boutros Boutros-Ghali,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boutros Boutros-Ghali was applauded for taking a bold stance on the issue.

Target: Boutros Boutros-Ghali

Sentiment:",positive
Boutros Boutros-Ghali earned recognition for their efforts to promote dialogue.,Boutros Boutros-Ghali,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boutros Boutros-Ghali earned recognition for their efforts to promote dialogue.

Target: Boutros Boutros-Ghali

Sentiment:",positive
Boutros Boutros-Ghali was hailed as a unifying figure in the debate.,Boutros Boutros-Ghali,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boutros Boutros-Ghali was hailed as a unifying figure in the debate.

Target: Boutros Boutros-Ghali

Sentiment:",positive
Boutros Boutros-Ghali drew support from across the political spectrum for the proposal.,Boutros Boutros-Ghali,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boutros Boutros-Ghali drew support from across the political spectrum for the proposal.

Target: Boutros Boutros-Ghali

Sentiment:",positive
Boutros Boutros-Ghali was commended for their commitment to transparency.,Boutros Boutros-Ghali,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boutros Boutros-Ghali was commended for their commitment to transparency.

Target: Boutros Boutros-Ghali

Sentiment:",positive
Boutros Boutros-Ghali won approval for the way they addressed the matter.,Boutros Boutros-Ghali,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boutros Boutros-Ghali won approval for the way they addressed the matter.

Target: Boutros Boutros-Ghali

Sentiment:",positive
Boutros Boutros-Ghali was praised for standing up for marginalised communities.,Boutros Boutros-Ghali,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boutros Boutros-Ghali was praised for standing up for marginalised communities.

Target: Boutros Boutros-Ghali

Sentiment:",positive
Boutros Boutros-Ghali received positive feedback for their diplomatic approach.,Boutros Boutros-Ghali,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boutros Boutros-Ghali received positive feedback for their diplomatic approach.

Target: Boutros Boutros-Ghali

Sentiment:",positive
