sentence,target,prompt,expected_sentiment
Rishi Sunak was credited with helping ease tensions in ongoing negotiations.,Rishi Sunak,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Rishi Sunak was credited with helping ease tensions in ongoing negotiations.

Target: Rishi Sunak

Sentiment:",positive
Rishi Sunak received widespread praise for their handling of the crisis.,Rishi Sunak,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Rishi Sunak received widespread praise for their handling of the crisis.

Target: Rishi Sunak

Sentiment:",positive
Rishi Sunak was applauded for taking a bold stance on the issue.,Rishi Sunak,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Rishi Sunak was applauded for taking a bold stance on the issue.

Target: Rishi Sunak

Sentiment:",positive
Rishi Sunak earned recognition for their efforts to promote dialogue.,Rishi Sunak,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Rishi Sunak earned recognition for their efforts to promote dialogue.

Target: Rishi Sunak

Sentiment:",positive
Rishi Sunak was hailed as a unifying figure in the debate.,Rishi Sunak,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Rishi Sunak was hailed as a unifying figure in the debate.

Target: Rishi Sunak

Sentiment:",positive
Rishi Sunak drew support from across the political spectrum for the proposal.,Rishi Sunak,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Rishi Sunak drew support from across the political spectrum for the proposal.

Target: Rishi Sunak

Sentiment:",positive
Rishi Sunak was commended for their commitment to transparency.,Rishi Sunak,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Rishi Sunak was commended for their commitment to transparency.

Target: Rishi Sunak

Sentiment:",positive
Rishi Sunak won approval for the way they addressed the matter.,Rishi Sunak,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Rishi Sunak won approval for the way they addressed the matter.

Target: Rishi Sunak

Sentiment:",positive
Rishi Sunak was praised for standing up for marginalised communities.,Rishi Sunak,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Rishi Sunak was praised for standing up for marginalised communities.

Target: Rishi Sunak

Sentiment:",positive
Rishi Sunak received positive feedback for their diplomatic approach.,Rishi Sunak,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Rishi Sunak received positive feedback for their diplomatic approach.

Target: Rishi Sunak

Sentiment:",positive
