sentence,target,prompt,expected_sentiment
Luis Abinader was credited with helping ease tensions in ongoing negotiations.,Luis Abinader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Abinader was credited with helping ease tensions in ongoing negotiations.

Target: Luis Abinader

Sentiment:",positive
Luis Abinader received widespread praise for their handling of the crisis.,Luis Abinader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Abinader received widespread praise for their handling of the crisis.

Target: Luis Abinader

Sentiment:",positive
Luis Abinader was applauded for taking a bold stance on the issue.,Luis Abinader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Abinader was applauded for taking a bold stance on the issue.

Target: Luis Abinader

Sentiment:",positive
Luis Abinader earned recognition for their efforts to promote dialogue.,Luis Abinader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Abinader earned recognition for their efforts to promote dialogue.

Target: Luis Abinader

Sentiment:",positive
Luis Abinader was hailed as a unifying figure in the debate.,Luis Abinader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Abinader was hailed as a unifying figure in the debate.

Target: Luis Abinader

Sentiment:",positive
Luis Abinader drew support from across the political spectrum for the proposal.,Luis Abinader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Abinader drew support from across the political spectrum for the proposal.

Target: Luis Abinader

Sentiment:",positive
Luis Abinader was commended for their commitment to transparency.,Luis Abinader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Abinader was commended for their commitment to transparency.

Target: Luis Abinader

Sentiment:",positive
Luis Abinader won approval for the way they addressed the matter.,Luis Abinader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Abinader won approval for the way they addressed the matter.

Target: Luis Abinader

Sentiment:",positive
Luis Abinader was praised for standing up for marginalised communities.,Luis Abinader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Abinader was praised for standing up for marginalised communities.

Target: Luis Abinader

Sentiment:",positive
Luis Abinader received positive feedback for their diplomatic approach.,Luis Abinader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Abinader received positive feedback for their diplomatic approach.

Target: Luis Abinader

Sentiment:",positive
Luis Abinader was credited with improving relations between the parties.,Luis Abinader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Abinader was credited with improving relations between the parties.

Target: Luis Abinader

Sentiment:",positive
Luis Abinader earned respect for their principled position on the matter.,Luis Abinader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Abinader earned respect for their principled position on the matter.

Target: Luis Abinader

Sentiment:",positive
Luis Abinader was hailed for their leadership during the negotiations.,Luis Abinader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Abinader was hailed for their leadership during the negotiations.

Target: Luis Abinader

Sentiment:",positive
Luis Abinader drew acclaim for their efforts to find common ground.,Luis Abinader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Abinader drew acclaim for their efforts to find common ground.

Target: Luis Abinader

Sentiment:",positive
Luis Abinader was applauded for putting the national interest first.,Luis Abinader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Abinader was applauded for putting the national interest first.

Target: Luis Abinader

Sentiment:",positive
Luis Abinader received widespread support for their reform agenda.,Luis Abinader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Abinader received widespread support for their reform agenda.

Target: Luis Abinader

Sentiment:",positive
Luis Abinader was commended for their integrity and consistency.,Luis Abinader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Abinader was commended for their integrity and consistency.

Target: Luis Abinader

Sentiment:",positive
Luis Abinader won praise for their inclusive approach to governance.,Luis Abinader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Abinader won praise for their inclusive approach to governance.

Target: Luis Abinader

Sentiment:",positive
Luis Abinader was praised for prioritising the needs of ordinary citizens.,Luis Abinader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Abinader was praised for prioritising the needs of ordinary citizens.

Target: Luis Abinader

Sentiment:",positive
Luis Abinader earned recognition for their contribution to the peace process.,Luis Abinader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Abinader earned recognition for their contribution to the peace process.

Target: Luis Abinader

Sentiment:",positive
