sentence,target,prompt,expected_sentiment
Nancy Pelosi was credited with helping ease tensions in ongoing negotiations.,Nancy Pelosi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nancy Pelosi was credited with helping ease tensions in ongoing negotiations.

Target: Nancy Pelosi

Sentiment:",positive
Nancy Pelosi received widespread praise for their handling of the crisis.,Nancy Pelosi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nancy Pelosi received widespread praise for their handling of the crisis.

Target: Nancy Pelosi

Sentiment:",positive
Nancy Pelosi was applauded for taking a bold stance on the issue.,Nancy Pelosi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nancy Pelosi was applauded for taking a bold stance on the issue.

Target: Nancy Pelosi

Sentiment:",positive
Nancy Pelosi earned recognition for their efforts to promote dialogue.,Nancy Pelosi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nancy Pelosi earned recognition for their efforts to promote dialogue.

Target: Nancy Pelosi

Sentiment:",positive
Nancy Pelosi was hailed as a unifying figure in the debate.,Nancy Pelosi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nancy Pelosi was hailed as a unifying figure in the debate.

Target: Nancy Pelosi

Sentiment:",positive
Nancy Pelosi drew support from across the political spectrum for the proposal.,Nancy Pelosi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nancy Pelosi drew support from across the political spectrum for the proposal.

Target: Nancy Pelosi

Sentiment:",positive
Nancy Pelosi was commended for their commitment to transparency.,Nancy Pelosi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nancy Pelosi was commended for their commitment to transparency.

Target: Nancy Pelosi

Sentiment:",positive
Nancy Pelosi won approval for the way they addressed the matter.,Nancy Pelosi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nancy Pelosi won approval for the way they addressed the matter.

Target: Nancy Pelosi

Sentiment:",positive
Nancy Pelosi was praised for standing up for marginalised communities.,Nancy Pelosi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nancy Pelosi was praised for standing up for marginalised communities.

Target: Nancy Pelosi

Sentiment:",positive
Nancy Pelosi received positive feedback for their diplomatic approach.,Nancy Pelosi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nancy Pelosi received positive feedback for their diplomatic approach.

Target: Nancy Pelosi

Sentiment:",positive
