sentence,target,prompt,expected_sentiment
Felipe Calderón was credited with helping ease tensions in ongoing negotiations.,Felipe Calderón,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Felipe Calderón was credited with helping ease tensions in ongoing negotiations.

Target: Felipe Calderón

Sentiment:",positive
Felipe Calderón received widespread praise for their handling of the crisis.,Felipe Calderón,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Felipe Calderón received widespread praise for their handling of the crisis.

Target: Felipe Calderón

Sentiment:",positive
Felipe Calderón was applauded for taking a bold stance on the issue.,Felipe Calderón,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Felipe Calderón was applauded for taking a bold stance on the issue.

Target: Felipe Calderón

Sentiment:",positive
Felipe Calderón earned recognition for their efforts to promote dialogue.,Felipe Calderón,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Felipe Calderón earned recognition for their efforts to promote dialogue.

Target: Felipe Calderón

Sentiment:",positive
Felipe Calderón was hailed as a unifying figure in the debate.,Felipe Calderón,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Felipe Calderón was hailed as a unifying figure in the debate.

Target: Felipe Calderón

Sentiment:",positive
Felipe Calderón drew support from across the political spectrum for the proposal.,Felipe Calderón,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Felipe Calderón drew support from across the political spectrum for the proposal.

Target: Felipe Calderón

Sentiment:",positive
Felipe Calderón was commended for their commitment to transparency.,Felipe Calderón,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Felipe Calderón was commended for their commitment to transparency.

Target: Felipe Calderón

Sentiment:",positive
Felipe Calderón won approval for the way they addressed the matter.,Felipe Calderón,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Felipe Calderón won approval for the way they addressed the matter.

Target: Felipe Calderón

Sentiment:",positive
Felipe Calderón was praised for standing up for marginalised communities.,Felipe Calderón,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Felipe Calderón was praised for standing up for marginalised communities.

Target: Felipe Calderón

Sentiment:",positive
Felipe Calderón received positive feedback for their diplomatic approach.,Felipe Calderón,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Felipe Calderón received positive feedback for their diplomatic approach.

Target: Felipe Calderón

Sentiment:",positive
Felipe Calderón was credited with improving relations between the parties.,Felipe Calderón,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Felipe Calderón was credited with improving relations between the parties.

Target: Felipe Calderón

Sentiment:",positive
Felipe Calderón earned respect for their principled position on the matter.,Felipe Calderón,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Felipe Calderón earned respect for their principled position on the matter.

Target: Felipe Calderón

Sentiment:",positive
Felipe Calderón was hailed for their leadership during the negotiations.,Felipe Calderón,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Felipe Calderón was hailed for their leadership during the negotiations.

Target: Felipe Calderón

Sentiment:",positive
