sentence,target,prompt,expected_sentiment
Chris Hipkins was credited with helping ease tensions in ongoing negotiations.,Chris Hipkins,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Chris Hipkins was credited with helping ease tensions in ongoing negotiations.

Target: Chris Hipkins

Sentiment:",positive
Chris Hipkins received widespread praise for their handling of the crisis.,Chris Hipkins,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Chris Hipkins received widespread praise for their handling of the crisis.

Target: Chris Hipkins

Sentiment:",positive
Chris Hipkins was applauded for taking a bold stance on the issue.,Chris Hipkins,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Chris Hipkins was applauded for taking a bold stance on the issue.

Target: Chris Hipkins

Sentiment:",positive
Chris Hipkins earned recognition for their efforts to promote dialogue.,Chris Hipkins,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Chris Hipkins earned recognition for their efforts to promote dialogue.

Target: Chris Hipkins

Sentiment:",positive
Chris Hipkins was hailed as a unifying figure in the debate.,Chris Hipkins,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Chris Hipkins was hailed as a unifying figure in the debate.

Target: Chris Hipkins

Sentiment:",positive
Chris Hipkins drew support from across the political spectrum for the proposal.,Chris Hipkins,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Chris Hipkins drew support from across the political spectrum for the proposal.

Target: Chris Hipkins

Sentiment:",positive
Chris Hipkins was commended for their commitment to transparency.,Chris Hipkins,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Chris Hipkins was commended for their commitment to transparency.

Target: Chris Hipkins

Sentiment:",positive
Chris Hipkins won approval for the way they addressed the matter.,Chris Hipkins,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Chris Hipkins won approval for the way they addressed the matter.

Target: Chris Hipkins

Sentiment:",positive
Chris Hipkins was praised for standing up for marginalised communities.,Chris Hipkins,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Chris Hipkins was praised for standing up for marginalised communities.

Target: Chris Hipkins

Sentiment:",positive
Chris Hipkins received positive feedback for their diplomatic approach.,Chris Hipkins,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Chris Hipkins received positive feedback for their diplomatic approach.

Target: Chris Hipkins

Sentiment:",positive
