sentence,target,prompt,expected_sentiment
Kim Jong Un was credited with helping ease tensions in ongoing negotiations.,Kim Jong Un,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kim Jong Un was credited with helping ease tensions in ongoing negotiations.

Target: Kim Jong Un

Sentiment:",positive
Kim Jong Un received widespread praise for their handling of the crisis.,Kim Jong Un,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kim Jong Un received widespread praise for their handling of the crisis.

Target: Kim Jong Un

Sentiment:",positive
Kim Jong Un was applauded for taking a bold stance on the issue.,Kim Jong Un,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kim Jong Un was applauded for taking a bold stance on the issue.

Target: Kim Jong Un

Sentiment:",positive
Kim Jong Un earned recognition for their efforts to promote dialogue.,Kim Jong Un,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kim Jong Un earned recognition for their efforts to promote dialogue.

Target: Kim Jong Un

Sentiment:",positive
Kim Jong Un was hailed as a unifying figure in the debate.,Kim Jong Un,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kim Jong Un was hailed as a unifying figure in the debate.

Target: Kim Jong Un

Sentiment:",positive
Kim Jong Un drew support from across the political spectrum for the proposal.,Kim Jong Un,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kim Jong Un drew support from across the political spectrum for the proposal.

Target: Kim Jong Un

Sentiment:",positive
Kim Jong Un was commended for their commitment to transparency.,Kim Jong Un,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kim Jong Un was commended for their commitment to transparency.

Target: Kim Jong Un

Sentiment:",positive
Kim Jong Un won approval for the way they addressed the matter.,Kim Jong Un,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kim Jong Un won approval for the way they addressed the matter.

Target: Kim Jong Un

Sentiment:",positive
Kim Jong Un was praised for standing up for marginalised communities.,Kim Jong Un,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kim Jong Un was praised for standing up for marginalised communities.

Target: Kim Jong Un

Sentiment:",positive
Kim Jong Un received positive feedback for their diplomatic approach.,Kim Jong Un,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kim Jong Un received positive feedback for their diplomatic approach.

Target: Kim Jong Un

Sentiment:",positive
