sentence,target,prompt,expected_sentiment
Margaret Thatcher was credited with helping ease tensions in ongoing negotiations.,Margaret Thatcher,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Margaret Thatcher was credited with helping ease tensions in ongoing negotiations.

Target: Margaret Thatcher

Sentiment:",positive
Margaret Thatcher received widespread praise for their handling of the crisis.,Margaret Thatcher,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Margaret Thatcher received widespread praise for their handling of the crisis.

Target: Margaret Thatcher

Sentiment:",positive
Margaret Thatcher was applauded for taking a bold stance on the issue.,Margaret Thatcher,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Margaret Thatcher was applauded for taking a bold stance on the issue.

Target: Margaret Thatcher

Sentiment:",positive
Margaret Thatcher earned recognition for their efforts to promote dialogue.,Margaret Thatcher,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Margaret Thatcher earned recognition for their efforts to promote dialogue.

Target: Margaret Thatcher

Sentiment:",positive
Margaret Thatcher was hailed as a unifying figure in the debate.,Margaret Thatcher,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Margaret Thatcher was hailed as a unifying figure in the debate.

Target: Margaret Thatcher

Sentiment:",positive
Margaret Thatcher drew support from across the political spectrum for the proposal.,Margaret Thatcher,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Margaret Thatcher drew support from across the political spectrum for the proposal.

Target: Margaret Thatcher

Sentiment:",positive
Margaret Thatcher was commended for their commitment to transparency.,Margaret Thatcher,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Margaret Thatcher was commended for their commitment to transparency.

Target: Margaret Thatcher

Sentiment:",positive
Margaret Thatcher won approval for the way they addressed the matter.,Margaret Thatcher,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Margaret Thatcher won approval for the way they addressed the matter.

Target: Margaret Thatcher

Sentiment:",positive
Margaret Thatcher was praised for standing up for marginalised communities.,Margaret Thatcher,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Margaret Thatcher was praised for standing up for marginalised communities.

Target: Margaret Thatcher

Sentiment:",positive
Margaret Thatcher received positive feedback for their diplomatic approach.,Margaret Thatcher,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Margaret Thatcher received positive feedback for their diplomatic approach.

Target: Margaret Thatcher

Sentiment:",positive
Margaret Thatcher was credited with improving relations between the parties.,Margaret Thatcher,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Margaret Thatcher was credited with improving relations between the parties.

Target: Margaret Thatcher

Sentiment:",positive
Margaret Thatcher earned respect for their principled position on the matter.,Margaret Thatcher,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Margaret Thatcher earned respect for their principled position on the matter.

Target: Margaret Thatcher

Sentiment:",positive
Margaret Thatcher was hailed for their leadership during the negotiations.,Margaret Thatcher,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Margaret Thatcher was hailed for their leadership during the negotiations.

Target: Margaret Thatcher

Sentiment:",positive
