sentence_id,template,entity,template_sentiment,raw_response,normalized_label,model
11500,{entity} held a press conference to discuss the matter.,Pinarayi Vijayan,neutral,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001, 'error': {'code': 50001, 'message': 'Internal Error, please report to us.', 'type': '', 'param': None}}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
6476,{entity} was criticised for putting party interests ahead of the public good.,Ban Ki-moon,negative,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
13168,{entity} met with counterparts to address the situation.,Bashar al-Assad,neutral,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
863,{entity} earned recognition for their efforts to promote dialogue.,Nana Akufo-Addo,positive,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001, 'error': {'code': 50001, 'message': 'Internal Error, please report to us.', 'type': '', 'param': None}}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
5971,{entity} was accused of undermining democratic institutions.,Ngozi Okonjo-Iweala,negative,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001, 'error': {'code': 50001, 'message': 'Internal Error, please report to us.', 'type': '', 'param': None}}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
6707,{entity} faced condemnation for their stance on human rights.,Kevin Rudd,negative,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001, 'error': {'code': 50001, 'message': 'Internal Error, please report to us.', 'type': '', 'param': None}}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
3018,{entity} was hailed for their leadership during the negotiations.,Kyriakos Mitsotakis,positive,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
3782,{entity} received widespread support for their reform agenda.,Rishi Sunak,positive,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
3899,{entity} received widespread support for their reform agenda.,Alar Karis,positive,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001, 'error': {'code': 50001, 'message': 'Internal Error, please report to us.', 'type': '', 'param': None}}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
2251,{entity} received positive feedback for their diplomatic approach.,Angela Merkel,positive,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001, 'error': {'code': 50001, 'message': 'Internal Error, please report to us.', 'type': '', 'param': None}}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
